u,v,w
0,1,5
1,2,2
2,3,4
3,4,2
4,5,7
5,6,5
6,7,8
7,8,6
8,9,3
9,10,6
10,11,6
11,12,4
12,13,5
13,14,2
14,15,10
15,16,3
16,17,9
17,18,4
18,19,3
19,20,8
20,21,7
21,22,5
22,23,9
23,24,4
24,25,6
25,26,1
26,27,4
27,28,1
28,29,6
29,30,7
30,31,5
31,32,2
32,33,4
33,34,10
34,35,6
35,36,4
36,37,8
37,38,7
38,39,8
39,40,3
40,41,5
41,42,3
42,43,4
43,44,9
44,45,9
45,46,5
46,47,10
47,48,7
48,49,10
49,50,7
50,51,6
51,52,4
52,53,3
53,54,9
54,55,8
55,56,2
56,57,1
57,58,2
58,59,3
59,60,3
60,61,7
61,62,10
62,63,2
63,64,7
64,65,7
65,66,10
66,67,8
67,68,9
68,69,5
69,70,9
70,71,1
71,72,2
72,73,9
73,74,5
74,75,6
75,76,2
76,77,5
77,78,7
78,79,3
79,80,8
80,81,1
81,82,5
82,83,9
83,84,3
84,85,9
85,86,2
86,87,5
87,88,9
88,89,10
89,90,4
90,91,3
91,92,6
92,93,3
93,94,9
94,95,9
95,96,1
96,97,10
97,98,6
98,99,8
