u,v,w
3,15,1
21,7,8
20,26,6
29,32,7
35,5,5
20,6,9
23,35,9
19,38,2
23,12,7
4,31,6
12,9,10
39,19,8
6,4,6
8,15,5
15,6,1
35,27,10
25,5,6
17,25,4
35,0,2
24,16,9
22,8,3
16,18,5
2,18,6
14,10,8
0,33,3
10,5,6
30,0,3
0,3,7
25,35,6
37,38,8
2,23,4
27,8,6
35,18,9
31,22,4
20,18,5
28,29,10
37,19,3
7,8,1
25,6,2
3,37,10
34,36,3
37,12,9
18,19,2
22,19,3
5,4,1
24,19,5
36,22,7
28,36,8
36,6,8
23,1,6
25,1,8
3,10,7
35,38,10
30,37,10
2,37,10
1,33,6
2,14,8
30,34,4
1,6,7
32,35,4
0,21,10
17,5,6
37,11,3
13,39,5
7,11,10
28,24,2
31,9,1
26,35,9
0,10,9
18,38,1
33,28,7
0,32,6
37,34,10
23,0,9
5,4,5
36,33,2
16,22,1
23,4,6
27,8,5
8,34,3
2,34,9
24,22,10
30,6,8
8,7,4
36,17,8
26,31,7
12,32,2
3,14,8
35,11,5
15,5,8
15,39,10
32,4,2
11,36,3
8,11,1
37,14,9
13,34,7
13,37,3
23,31,10
36,14,2
13,15,2
4,30,9
2,34,4
27,15,8
5,7,10
38,25,9
38,9,10
25,38,10
10,34,4
33,36,1
24,7,7
0,12,9
33,36,10
26,16,4
38,2,7
28,24,10
11,39,9
35,3,1
18,29,9
9,3,3
26,38,9
32,8,8
12,31,9
18,22,6
32,0,4
2,22,6
17,16,10
24,14,5
9,7,9
11,32,5
20,39,4
24,26,6
21,22,3
22,18,9
13,22,4
27,25,7
36,35,6
34,30,6
34,19,6
5,18,1
24,33,5
5,18,10
19,17,7
16,13,4
11,12,4
8,28,3
10,14,7
26,23,6
32,34,6
23,11,8
12,15,10
32,7,7
36,13,4
16,20,2
33,39,2
3,6,3
8,21,8
14,1,5
38,12,10
26,18,3
23,37,2
10,11,1
23,3,9
22,10,5
30,24,6
14,13,6
16,24,8
2,32,10
16,13,8
33,23,2
11,12,8
20,27,2
24,14,4
39,10,9
35,13,4
26,23,1
10,6,7
38,39,5
4,9,1
20,31,8
9,30,6
17,30,10
7,22,9
33,27,4
38,20,9
13,36,5
38,12,5
17,31,2
11,31,8
14,4,5
18,29,3
32,19,3
13,28,10
35,36,1
0,15,4
0,4,4
30,24,1
30,35,1
35,9,2
21,39,5
4,35,3
33,12,6
15,34,1
23,26,5
25,37,4
4,36,4
29,21,6
32,6,5
3,13,5
