u,v,w
0,1,7
1,0,5
0,5,10
5,0,3
1,2,6
2,1,2
1,6,6
6,1,9
2,3,4
3,2,8
2,7,8
7,2,7
3,4,8
4,3,5
3,8,10
8,3,10
4,9,7
9,4,2
5,6,7
6,5,6
5,10,10
10,5,3
6,7,7
7,6,7
6,11,2
11,6,1
7,8,9
8,7,6
7,12,8
12,7,4
8,9,3
9,8,8
8,13,9
13,8,9
9,14,2
14,9,5
10,11,8
11,10,7
10,15,2
15,10,8
11,12,5
12,11,3
11,16,3
16,11,5
12,13,4
13,12,9
12,17,7
17,12,5
13,14,10
14,13,1
13,18,9
18,13,2
14,19,1
19,14,9
15,16,2
16,15,9
15,20,7
20,15,7
16,17,2
17,16,8
16,21,10
21,16,5
17,18,6
18,17,5
17,22,10
22,17,2
18,19,9
19,18,1
18,23,2
23,18,8
19,24,3
24,19,3
20,21,7
21,20,1
21,22,2
22,21,7
22,23,5
23,22,6
23,24,10
24,23,8
