u,v,w
35,50,1
26,23,4
34,21,3
44,53,3
25,52,9
32,50,9
3,43,2
43,59,10
18,22,1
32,23,1
24,29,10
22,46,3
13,21,8
35,43,7
39,22,4
53,49,8
46,55,4
3,22,9
41,50,6
23,19,3
31,38,8
11,8,7
5,41,7
28,38,7
17,28,9
27,1,8
57,5,1
2,38,3
56,2,6
50,17,10
5,48,3
59,51,9
2,50,4
43,38,1
38,9,2
15,6,3
45,5,9
23,51,3
55,23,9
19,7,1
15,27,10
38,3,1
16,47,1
53,45,6
35,46,10
2,18,8
33,27,2
54,50,2
44,48,5
34,45,4
4,42,7
41,11,1
52,28,6
8,2,6
3,41,8
6,51,6
9,10,10
4,9,1
32,13,3
0,31,7
3,25,9
25,33,2
23,43,10
58,21,6
47,28,7
45,49,8
28,2,1
39,38,9
4,21,2
15,49,6
5,47,9
23,53,5
47,21,4
30,28,5
50,40,6
9,10,3
2,8,2
26,22,7
54,35,6
16,13,3
23,32,3
40,50,1
48,37,8
50,9,3
20,27,6
34,18,6
38,34,1
57,53,4
22,50,2
32,49,9
48,32,2
18,20,2
51,57,3
43,28,6
7,48,5
46,55,6
1,38,5
26,17,4
44,30,3
27,56,7
23,24,10
57,49,6
23,58,5
5,58,4
18,27,1
58,4,6
59,1,7
49,24,9
25,45,7
17,7,6
22,28,1
1,11,5
19,35,7
4,19,8
58,22,5
11,49,8
30,16,1
4,32,2
54,35,10
36,14,7
32,35,6
29,48,10
8,55,5
22,27,2
25,26,2
36,27,10
28,39,5
33,26,3
51,39,8
15,26,10
53,44,6
9,4,5
12,14,3
13,19,4
42,18,5
42,30,4
35,1,7
15,45,8
36,42,7
9,53,7
51,8,2
5,27,2
1,9,10
10,44,8
27,28,4
49,8,5
19,51,8
54,7,5
23,25,6
28,33,9
4,25,1
18,38,5
53,44,10
29,21,3
46,28,1
1,20,3
46,27,2
28,29,5
40,32,10
9,43,8
26,21,8
2,42,6
48,47,8
9,3,8
6,5,6
41,12,6
55,41,6
43,50,8
16,12,3
59,6,9
23,15,7
20,55,6
56,49,10
39,43,9
2,14,7
33,32,4
39,10,6
15,45,3
52,8,9
49,37,6
4,41,2
36,8,9
13,24,7
17,28,7
59,19,9
17,51,2
21,42,2
2,18,4
21,11,8
49,36,10
27,38,3
8,38,7
28,39,1
35,3,10
44,31,6
18,29,9
55,9,6
49,18,4
9,28,2
23,19,6
22,15,2
4,33,9
0,11,3
38,27,2
4,5,2
54,6,6
55,30,1
5,33,6
40,24,6
31,33,5
53,57,8
54,41,9
29,4,2
39,27,5
5,23,4
5,37,3
48,45,8
23,28,2
18,43,10
21,49,3
18,16,10
55,58,1
41,40,10
24,26,6
28,58,10
5,56,1
48,41,4
8,38,2
50,44,2
38,30,9
52,12,10
14,34,4
1,20,2
36,26,3
41,44,7
42,16,6
18,7,7
25,55,5
22,6,10
53,47,9
