u,v,w
1,2995,54.050
2,2255,221.186
2,2590,190.454
3,1868,23.934
4,3,372.915
4,1,845.594
5,2,89.948
5,7,85.565
6,2537,383.428
6,9,853.728
7,8,42.116
8,11,31.578
8,2992,216.955
9,2750,114.429
10,5,15.486
11,9,369.805
11,3,72.739
12,2260,633.677
13,14,127.636
13,514,507.112
14,2447,155.803
15,3080,145.148
15,2934,54.997
16,31,97.292
17,157,65.278
17,51,81.819
17,160,30.440
17,149,114.788
18,102,179.394
18,106,117.703
18,16,141.827
19,139,250.048
19,57,143.125
20,71,76.023
21,2426,83.676
22,286,31.785
23,2812,14.075
23,826,66.102
24,2844,151.043
25,2422,166.874
26,72,69.511
26,28,104.113
27,26,190.011
27,20,84.130
28,25,103.091
29,56,196.468
29,2457,36.764
30,29,250.438
30,222,336.113
31,2436,166.448
31,2458,61.546
31,140,72.919
32,33,344.369
32,102,98.173
32,101,69.109
33,187,121.378
33,185,97.338
33,153,70.798
34,36,18.623
35,36,171.004
35,37,68.775
35,160,75.505
36,35,171.004
36,34,18.623
36,163,190.603
37,163,43.860
37,35,68.775
37,169,74.657
38,2191,120.514
38,217,78.642
38,170,18.092
38,189,243.184
39,40,134.265
39,176,20.342
39,212,76.236
40,177,22.884
40,41,111.226
41,40,111.226
42,1143,251.526
42,2825,44.990
43,48,24.744
43,44,42.365
44,3085,34.637
45,982,155.725
47,1135,149.446
47,1060,103.855
47,1059,15.505
48,1155,190.547
48,1033,59.321
49,986,32.762
49,994,231.912
49,2449,49.701
50,618,49.326
50,2449,95.630
51,154,21.483
51,156,67.449
51,17,81.819
52,53,62.686
52,147,114.298
52,154,61.096
53,54,113.213
53,52,62.686
53,146,113.583
54,53,113.213
54,155,70.680
54,2417,181.135
54,141,114.215
55,2814,70.295
55,56,207.333
56,139,142.247
56,57,250.600
57,30,190.506
58,156,68.732
58,59,79.236
59,60,56.422
59,58,79.236
59,99,291.404
60,2160,35.731
60,59,56.422
60,98,291.627
61,120,62.045
61,122,65.328
61,97,295.602
62,63,56.892
62,120,60.728
62,78,295.893
63,62,56.892
63,66,193.256
63,64,60.820
64,2908,9.618
64,65,87.502
64,63,60.820
65,64,87.502
66,79,62.717
66,67,101.729
66,63,193.256
67,78,56.571
67,68,133.190
67,66,101.729
67,75,75.372
68,2421,38.563
68,2424,76.741
68,2435,60.127
68,67,133.190
69,2421,165.213
69,73,77.089
70,69,207.657
70,72,75.405
70,118,123.244
71,70,223.651
71,117,125.940
72,20,216.120
72,26,69.511
72,70,75.405
73,74,165.283
73,72,208.187
73,25,69.806
74,2424,57.889
74,73,165.283
74,2421,76.506
75,2424,110.385
75,67,75.372
75,95,67.587
76,2435,22.017
76,77,165.235
76,2423,63.137
77,76,165.235
77,69,58.182
78,62,295.893
78,2435,149.572
78,96,62.144
78,67,56.571
79,111,49.596
79,66,62.717
79,109,209.054
80,81,192.333
80,94,16.428
80,92,43.734
81,80,192.333
81,93,45.825
81,91,49.825
82,85,10.678
82,112,62.440
83,84,33.655
83,2908,95.895
84,83,33.655
84,112,85.050
85,82,10.678
85,88,44.846
85,86,209.249
86,85,209.249
86,87,45.088
87,88,208.941
87,89,42.318
87,86,45.088
88,85,44.846
88,90,43.500
88,87,208.941
89,90,209.084
89,87,42.318
89,91,44.304
90,88,43.500
90,92,45.246
90,89,209.084
91,92,205.166
91,81,49.825
91,89,44.304
92,90,45.246
92,80,43.734
92,91,205.166
93,81,45.825
93,107,198.595
94,80,16.428
94,109,45.913
94,107,47.868
95,108,53.277
95,2425,93.367
95,75,67.587
96,78,62.144
96,120,294.987
96,2423,170.276
96,97,61.567
97,123,61.384
97,96,61.567
97,61,295.602
