u,v,w
0,27,224.384
0,186,69.775
1,180,89.812
1,174,25.006
2,175,101.793
2,319,32.864
2,97,151.355
3,4,196.570
3,177,50.326
4,222,77.756
4,299,196.784
5,412,52.856
5,10,95.324
6,332,10.520
6,331,115.139
6,15,138.403
7,0,180.864
8,46,159.716
8,150,38.596
9,256,38.896
10,415,274.712
10,216,49.884
11,211,24.109
11,42,396.741
12,148,86.547
13,326,124.677
13,93,185.000
15,396,14.524
15,16,121.823
16,47,33.102
17,379,22.195
17,5,360.210
18,301,83.386
18,242,76.818
19,20,216.734
19,28,124.848
20,380,11.296
21,22,106.115
22,87,105.675
22,92,69.424
23,293,73.966
23,146,67.745
24,42,28.962
25,403,89.573
25,26,130.937
26,387,46.574
26,385,87.627
27,309,3.396
27,308,100.043
28,29,213.263
28,39,117.184
29,18,130.746
30,308,29.525
30,309,99.939
31,255,27.105
31,36,24.037
32,237,37.985
33,85,63.503
33,54,36.875
34,365,60.933
34,306,8.604
35,399,58.757
35,89,271.737
36,246,18.321
37,281,60.028
37,38,60.151
38,255,248.988
39,25,240.997
39,40,121.189
40,417,97.356
40,41,125.725
41,96,220.914
41,411,64.850
42,25,94.689
43,29,96.767
43,39,201.936
44,11,103.513
45,12,404.073
45,24,55.426
46,179,117.933
47,1,147.601
47,48,278.576
48,328,110.504
48,49,63.136
49,137,1666.792
49,354,94.493
49,48,63.136
50,51,126.583
50,60,106.664
51,331,28.989
51,9,261.932
52,30,136.918
53,224,42.422
54,173,28.313
55,57,183.859
55,105,122.524
56,340,80.460
56,325,91.874
57,352,84.489
57,32,21.005
58,343,22.909
58,159,218.974
59,110,39.044
60,50,106.664
61,344,4.172
61,64,184.542
62,322,20.867
62,348,90.970
63,240,27.181
64,350,61.989
65,66,88.177
65,63,183.435
66,56,141.338
68,164,237.523
69,171,143.549
69,70,139.217
70,245,156.221
71,121,700.018
72,119,59.782
72,134,126.473
74,73,159.861
74,71,222.497
75,102,65.914
75,276,287.452
76,71,145.525
76,251,26.847
77,78,177.308
78,101,29.660
78,79,185.981
79,104,179.152
79,80,70.223
80,270,42.029
80,81,340.647
81,314,40.425
81,248,69.190
82,69,114.434
83,84,119.770
84,54,54.660
84,85,59.523
85,125,49.022
86,260,43.018
87,86,176.095
87,91,69.711
88,22,174.648
89,234,86.157
89,88,99.697
90,229,43.678
90,367,117.783
90,413,8.345
91,95,126.943
92,408,31.016
92,91,105.156
93,260,76.267
94,95,94.907
94,141,5.591
94,140,7.996
94,34,92.225
95,94,94.907
95,93,116.318
96,90,59.888
96,232,98.310
97,151,107.285
97,77,46.199
98,117,126.015
99,257,390.303
99,278,116.573
100,280,81.304
100,76,129.776
101,266,14.460
101,99,74.514
102,114,114.338
103,275,33.844
104,0,159.327
104,46,173.590
105,55,122.524
106,107,122.313
107,108,306.287
107,111,285.667
108,109,96.285
109,111,566.300
109,108,96.285
110,106,63.304
112,113,139.529
113,165,217.640
114,115,39.115
114,103,46.502
115,116,115.490
115,178,153.559
116,257,85.744
116,154,96.902
118,268,9.642
118,269,51.354
119,250,112.131
119,120,102.879
120,253,169.065
121,245,15.395
121,72,162.792
122,121,62.585
122,266,189.209
123,295,166.392
124,136,13.373
124,135,104.934
125,126,62.485
125,287,200.392
126,218,17.574
126,287,146.881
127,392,57.877
128,288,10.093
129,59,269.757
130,159,324.485
130,228,44.278
131,182,99.319
131,223,546.446
132,165,35.517
132,167,136.141
133,166,63.552
134,70,133.053
134,171,46.363
135,123,110.416
135,124,104.934
136,116,268.464
137,49,1666.792
137,138,212.053
137,333,800.990
138,267,94.268
138,137,212.053
139,267,845.283
140,94,7.996
141,94,5.591
142,143,128.399
142,23,50.069
143,294,17.199
143,144,50.179
144,368,10.942
144,23,127.180
145,146,84.870
146,145,84.870
146,45,90.532
147,148,97.770
148,147,97.770
148,13,70.159
149,150,89.986
150,362,24.530
150,149,89.986
151,152,119.353
152,153,50.448
152,98,53.167
153,2,200.295
154,421,45.128
154,183,320.828
155,421,58.227
155,156,63.581
156,155,63.581
157,169,75.775
157,158,349.043
158,253,82.737
158,101,282.509
159,106,150.195
159,59,57.988
160,82,173.025
160,157,390.630
161,226,48.724
161,290,24.954
162,163,147.629
162,304,78.928
163,162,147.629
164,389,38.457
165,167,126.755
166,132,72.624
166,391,82.984
167,67,62.951
168,8,9.176
168,200,11.964
169,170,25.487
169,53,51.329
170,171,175.093
171,227,360.072
172,314,140.119
173,172,87.181
173,312,8.852
173,52,56.673
174,374,27.556
174,175,166.839
175,1,149.698
176,4,82.029
176,177,172.021
177,185,235.010
178,279,65.045
178,151,31.869
179,360,5.238
180,179,158.900
180,104,109.663
181,258,25.814
182,133,45.574
182,181,29.677
183,136,23.976
183,124,24.991
184,43,124.364
184,40,192.714
185,186,234.492
185,27,36.476
186,199,51.301
187,188,42.770
187,202,33.304
188,187,42.770
189,164,62.092
189,284,393.977
190,113,406.705
190,219,243.699
191,296,234.040
191,196,218.009
192,281,55.795
193,194,22.290
193,198,143.296
193,196,207.512
194,193,22.290
194,195,86.142
195,192,52.228
196,197,257.106
196,193,207.512
196,191,218.009
197,196,257.106
198,193,143.296
199,426,15.042
199,201,10.988
200,168,11.964
201,199,10.988
