u,v,w
0,3183,136.714
0,5421,382.050
2,1050,450.283
2,4322,2198.279
3,4,254.936
3,5,477.967
4,1050,77.149
4,3201,299.002
4,5,230.405
5,0,182.532
6,7,267.157
7,169,163.214
8,9,280.654
8,10,538.684
9,7118,56.815
9,7,106.011
9,196,45.335
10,5937,248.044
11,15,131.768
12,6951,62.274
12,20,333.866
13,5193,26.184
13,14,188.697
14,12,25.868
15,14,471.847
15,16,207.187
16,18,35.503
17,16,75.488
17,19,66.740
18,17,69.556
18,14,256.500
19,11,276.441
20,21,42.508
20,1,320.533
20,12,333.866
21,20,42.508
21,24,155.594
22,1049,179.683
22,21,526.315
23,1,218.686
23,24,243.312
24,6294,114.939
24,21,155.594
25,28,167.033
25,26,245.279
26,30,74.718
26,31,71.738
27,30,72.843
27,28,227.432
27,5426,763.019
28,4328,663.279
29,1048,275.771
29,30,560.400
30,27,72.843
30,26,74.718
31,1048,271.964
31,6294,234.920
31,26,71.738
32,2826,66.320
32,2829,68.038
32,6356,183.453
33,4359,20.404
33,2642,50.725
33,2640,65.232
34,3013,43.061
34,2987,191.717
34,7168,41.145
35,2757,77.505
35,2767,129.134
35,2743,218.227
35,36,77.118
36,535,77.900
36,3895,68.187
36,35,77.118
36,1254,151.155
37,1293,31.220
37,1287,87.486
37,1291,112.435
37,1254,225.362
38,1386,250.185
38,463,273.142
38,1345,107.599
38,1384,71.261
39,61,38.393
39,4193,43.973
40,1074,24.712
40,1494,41.176
41,3733,25.537
41,7143,27.610
42,7142,138.048
43,3733,20.459
44,4843,36.765
44,1706,28.522
45,47,64.401
45,46,45.053
46,4890,48.686
47,2000,157.144
48,1990,157.936
48,7094,17.531
49,46,48.866
50,51,37.699
51,53,86.016
51,52,16.932
52,1041,319.972
52,4597,59.939
53,4041,72.527
53,4596,27.885
54,1536,104.406
55,121,95.200
55,5902,72.856
56,39,161.868
57,58,29.391
57,56,36.953
58,56,29.913
58,5238,216.914
58,1393,100.891
59,57,146.382
60,59,41.740
60,1222,60.395
61,1226,110.142
62,4187,71.344
63,4595,49.520
63,65,55.060
64,1111,144.658
64,62,309.585
65,66,27.647
65,67,291.602
66,4883,12.956
66,5200,86.593
67,65,291.602
67,1503,223.796
67,859,185.039
68,7141,66.198
69,68,26.872
69,70,65.571
70,2040,68.566
70,2046,214.188
71,74,38.104
71,2075,55.346
72,4744,21.005
72,2095,44.860
73,6331,175.646
74,73,21.338
74,2085,147.079
75,2098,125.567
75,76,20.990
76,77,108.887
77,2100,123.419
77,78,132.566
78,2101,124.477
78,79,250.398
79,83,31.522
79,6742,31.366
80,2196,59.129
80,2169,271.407
81,82,23.679
82,558,41.619
82,4731,40.379
83,446,18.435
84,85,16.399
84,4864,17.890
85,86,140.721
86,4721,23.626
86,87,72.424
87,2499,230.864
87,6248,101.025
88,6890,214.550
88,6743,262.588
89,4570,12.394
89,4163,17.114
90,4162,56.484
91,4571,79.965
92,4121,75.129
92,5280,12.757
93,4117,55.186
93,92,115.019
94,570,78.635
94,4080,19.251
95,4126,215.918
95,94,71.819
96,5026,209.892
96,2022,69.063
97,1710,76.416
97,4886,85.756
98,1768,62.019
99,126,126.381
99,4885,30.969
99,136,133.904
100,5512,37.769
100,6899,112.616
101,2422,58.455
101,2419,221.295
102,2431,156.172
102,2418,66.912
103,3893,28.680
