u,v,w
0,32,221.325
0,1290,124.783
0,1278,78.059
1,755,58.756
1,9,127.572
2,2236,61.491
2,190,199.955
3,5,61.959
3,1001,112.564
3,2348,125.428
4,80,7.415
4,2163,255.431
4,2150,574.366
5,3,61.959
5,1000,68.480
6,2150,179.751
6,2184,184.199
6,2193,181.213
7,56,21.507
7,803,37.533
8,754,66.873
9,14,40.260
9,757,46.684
10,8,967.182
11,756,71.600
12,781,15.084
12,482,138.811
13,530,703.287
13,17,93.533
13,2359,665.296
14,2357,34.195
14,802,233.047
15,86,136.827
15,2166,239.868
16,20,202.390
17,1260,196.676
17,2484,628.120
17,13,93.533
18,477,105.052
19,2350,120.326
19,11,56.717
20,777,17.934
21,68,62.406
21,773,48.730
22,21,14.872
23,61,20.108
23,24,38.778
24,1003,64.138
24,23,38.778
25,59,30.026
25,16,48.963
26,2116,95.004
26,1479,75.857
27,1961,25.975
27,748,109.430
28,415,112.227
28,29,98.523
28,403,92.940
29,943,88.472
29,395,100.023
29,28,98.523
29,405,91.890
30,1181,67.048
30,921,110.806
30,918,32.583
30,38,92.522
31,962,94.502
31,392,133.306
31,966,150.311
32,2372,91.247
32,0,221.325
32,1302,109.419
33,360,282.362
33,340,217.978
34,1283,25.653
34,1282,42.689
34,2379,75.949
35,49,99.361
35,1184,56.839
36,604,1349.516
36,830,30.593
37,857,402.909
37,1639,89.653
38,48,95.501
38,43,303.627
38,957,106.774
39,2473,177.546
39,764,55.715
39,692,1538.637
39,335,270.019
40,1183,49.822
40,954,68.080
41,43,114.773
41,48,235.522
42,859,35.791
42,354,243.229
42,343,113.983
43,27,119.240
43,38,303.627
44,52,249.502
44,399,135.517
44,965,174.650
45,760,141.739
45,328,94.281
46,747,48.998
47,41,112.697
47,382,81.887
47,52,169.207
48,956,107.936
48,52,92.600
49,35,99.361
49,47,118.692
50,949,129.416
50,277,202.755
51,492,29.418
52,35,94.064
52,47,169.207
52,44,249.502
53,51,136.699
53,1002,23.211
54,733,36.080
55,753,10.180
56,2486,16.487
56,166,28.900
57,1898,73.908
57,182,21.043
57,2247,66.409
58,187,230.452
58,190,297.455
59,157,44.797
59,16,68.928
60,2380,11.740
60,62,70.416
61,464,128.871
61,463,141.351
62,1963,260.427
62,60,70.416
63,758,190.085
63,20,72.595
64,2366,2.851
64,1571,285.051
64,122,120.121
65,79,286.258
65,73,21.152
65,66,131.005
66,932,62.920
66,2343,404.738
66,65,131.005
67,1826,42.715
67,71,38.420
67,72,214.760
68,521,66.834
68,21,62.406
68,772,48.830
69,1568,168.718
70,2016,286.460
70,1042,29.204
70,79,64.658
71,67,38.420
