u,v,w
0,228,50.176
1,114,96.126
1,124,108.442
1,177,78.551
2,83,85.521
3,106,100.575
3,118,62.711
4,36,134.232
4,161,35.318
5,154,59.314
5,68,85.783
6,209,187.318
6,211,102.132
7,16,115.993
7,286,66.890
8,191,66.022
8,15,201.014
9,188,84.736
9,47,105.987
10,23,27.730
10,12,184.219
11,276,33.436
11,277,38.824
12,103,103.426
12,17,178.551
13,14,134.474
13,9,186.870
14,190,37.621
14,217,91.867
15,222,85.679
15,163,107.214
16,110,39.135
17,21,24.279
17,29,262.607
18,101,102.026
18,13,188.968
19,300,50.336
19,18,171.724
20,90,98.922
20,221,48.830
21,22,173.849
22,12,25.632
22,23,188.052
23,204,334.825
24,158,44.819
25,26,335.806
25,139,28.777
26,147,121.512
26,262,84.172
27,48,197.995
27,28,116.372
28,10,100.003
29,201,25.333
29,96,68.571
30,98,97.621
30,31,156.578
31,32,114.652
32,115,102.854
32,159,26.428
33,121,99.725
34,123,25.381
34,127,111.147
35,291,11.805
35,131,90.488
36,25,65.538
37,80,110.023
37,131,100.794
38,34,105.460
38,39,134.458
39,82,122.154
39,120,107.157
40,117,90.957
40,226,72.935
41,179,70.468
41,42,101.835
42,85,94.518
42,43,117.340
43,89,93.053
43,44,119.768
44,94,121.126
44,100,123.439
45,78,109.692
45,46,192.969
46,187,75.424
46,61,191.012
47,104,85.264
47,48,107.652
48,62,112.050
48,49,118.371
49,63,112.907
49,50,58.973
50,51,90.141
51,148,207.615
52,172,60.883
52,53,117.081
53,141,96.971
53,54,117.922
54,171,93.777
54,142,101.822
54,138,109.115
55,290,303.662
55,37,113.667
56,88,111.714
56,69,116.668
57,56,84.270
57,294,131.150
58,178,80.682
58,57,174.003
59,77,112.670
59,314,53.335
60,91,88.659
60,207,174.317
60,59,123.273
61,60,116.100
62,74,138.380
62,170,100.886
63,73,125.698
63,62,118.757
64,145,45.245
64,63,119.722
65,145,63.208
66,149,135.974
67,143,110.829
67,66,130.645
68,140,116.575
68,137,153.411
69,284,114.187
69,219,55.055
70,152,30.461
71,72,119.931
72,195,58.405
72,64,112.287
72,73,120.444
73,194,53.239
73,74,114.063
74,75,96.959
75,170,151.575
75,220,59.549
76,206,7.289
77,45,118.482
78,93,87.475
78,29,81.707
79,282,75.220
80,134,106.051
80,83,114.007
81,80,100.163
81,132,108.440
82,106,236.865
82,122,131.193
83,55,106.117
84,86,66.979
84,69,117.760
