u,v,w
0,4,58.357
0,85,47.768
1,163,33.707
1,18,97.653
2,15,79.105
2,114,81.042
3,117,35.535
3,7,116.696
4,8,58.707
4,5,218.739
5,1,60.049
5,6,217.130
6,2,56.240
7,3,391.889
7,10,216.430
7,14,118.936
8,11,58.969
8,38,215.561
9,5,57.454
9,8,218.520
10,6,60.261
10,9,217.573
11,90,58.906
11,12,218.601
12,9,59.973
13,10,120.422
13,91,216.572
14,13,217.100
14,20,119.262
15,164,196.909
15,17,98.433
16,115,45.731
17,32,293.324
18,119,146.505
19,13,118.433
19,20,217.563
20,26,123.309
20,94,216.746
21,14,218.355
22,95,104.815
22,141,71.791
23,27,125.438
23,50,217.270
24,124,135.839
24,93,120.771
25,161,42.026
25,19,119.502
26,25,216.591
26,30,123.883
27,53,217.077
27,89,15.388
28,135,107.937
28,24,126.444
29,28,215.713
29,25,128.229
30,29,222.911
31,97,125.214
31,139,136.158
32,107,133.674
33,34,219.678
33,112,39.587
33,36,57.864
34,60,69.847
34,35,218.413
35,38,58.624
35,4,215.844
36,58,37.805
36,39,60.390
37,34,59.594
37,36,217.605
38,41,60.235
38,37,218.466
39,40,218.199
39,42,58.260
40,37,59.523
40,41,218.115
41,44,57.997
41,11,216.807
42,56,71.096
42,45,119.616
43,40,58.891
43,42,219.355
44,47,119.695
44,43,216.270
45,46,218.961
45,48,119.296
46,43,117.527
46,47,216.353
47,50,120.559
47,92,218.683
48,63,76.244
48,51,126.706
49,46,120.756
49,175,89.659
50,187,54.716
50,49,216.708
51,69,17.149
51,177,39.194
52,49,126.501
52,181,43.122
53,128,14.410
53,182,82.351
54,60,162.376
55,62,29.410
55,56,128.421
56,57,61.425
57,39,52.507
57,58,56.325
58,59,67.645
59,33,15.310
59,125,25.739
60,61,226.399
61,35,68.158
61,131,66.531
62,122,40.374
62,63,121.116
63,64,133.375
63,65,62.941
64,66,84.442
65,55,124.771
66,65,153.050
67,121,50.103
67,102,16.889
68,127,7.818
69,129,234.949
70,71,145.324
71,79,96.126
71,80,108.442
72,73,316.070
72,103,29.872
72,104,242.587
73,78,85.521
74,75,73.753
74,68,166.887
75,76,40.435
75,127,151.759
75,98,76.213
76,109,166.111
78,77,106.117
79,22,188.388
80,82,109.626
81,162,10.336
82,88,146.529
82,83,103.159
83,81,58.866
83,84,378.251
84,121,55.343
84,67,30.235
85,166,81.755
86,126,28.988
87,118,117.997
88,100,86.794
88,109,156.795
89,105,148.563
90,92,119.339
90,44,217.978
91,12,59.298
91,90,218.582
92,23,120.609
92,93,216.933
93,91,118.758
93,19,216.916
94,21,122.142
94,95,179.706
95,96,92.961
95,70,167.979
96,98,58.761
96,76,62.155
97,26,218.392
97,94,119.955
98,97,125.698
99,100,38.858
100,99,38.858
100,74,132.225
101,29,59.674
101,110,306.732
102,123,104.031
103,67,116.148
104,72,242.587
105,28,61.055
105,101,216.671
106,108,262.680
107,106,26.306
108,106,262.680
109,70,6.316
110,102,496.559
111,136,4.872
111,110,55.048
112,54,56.334
113,115,50.441
113,15,86.365
114,113,107.645
114,170,67.923
115,16,45.731
115,113,50.441
115,116,70.188
116,115,70.188
117,3,35.535
118,0,25.230
118,86,119.154
118,85,50.900
119,17,85.867
120,54,52.669
121,68,160.230
122,45,38.483
123,72,32.349
123,103,13.822
124,171,15.677
124,23,82.213
125,120,40.322
125,112,12.890
126,18,73.853
127,31,79.192
128,89,219.058
129,128,194.533
130,189,31.702
130,129,60.459
131,87,39.539
132,27,81.214
132,133,14.910
133,132,14.910
134,135,14.840
135,132,23.019
135,134,14.840
136,30,71.584
136,137,15.166
137,136,15.166
138,139,15.121
139,111,8.372
139,138,15.121
140,141,11.212
141,143,30.858
141,140,11.212
142,143,11.667
143,21,91.684
143,142,11.667
144,161,8.933
145,157,9.550
146,149,16.503
146,147,8.756
147,146,8.756
148,149,8.761
149,148,8.761
149,24,29.415
150,151,12.717
151,150,12.717
151,146,19.373
152,153,10.634
153,152,10.634
153,151,30.392
154,153,46.382
154,155,7.317
155,154,7.317
156,157,7.600
157,154,12.377
157,156,7.600
157,145,9.550
158,160,9.244
159,161,8.809
160,157,7.417
160,158,9.244
161,160,13.274
161,144,8.933
161,159,8.809
162,73,51.842
163,2,183.400
163,164,11.102
164,1,34.297
164,163,11.102
165,166,8.264
166,165,8.264
166,1,85.998
167,169,10.975
168,170,12.139
169,3,43.039
169,167,10.975
170,169,26.559
170,168,12.139
171,124,15.677
172,174,7.453
173,175,7.413
174,172,7.453
174,48,115.051
175,174,15.052
175,173,7.413
176,177,19.495
177,64,40.015
177,176,19.495
178,51,131.749
178,179,19.937
179,178,19.937
180,181,19.522
181,178,41.516
181,180,19.522
182,185,34.317
182,183,15.323
183,182,15.323
184,185,14.156
185,130,18.205
185,184,14.156
186,187,12.925
187,186,12.925
187,53,71.155
188,189,19.486
189,52,51.417
189,188,19.486
