u,v,w
0,38,101.812
1,64,164.987
1,160,78.793
2,88,94.049
2,14,120.370
3,69,185.399
3,2,83.405
4,3,76.925
4,51,186.922
5,4,82.167
5,16,123.517
6,197,14.114
6,8,26.833
7,5,77.888
7,17,119.624
8,208,19.281
8,90,191.687
9,70,185.696
9,7,107.291
10,168,52.667
10,192,180.339
10,220,45.567
11,67,121.259
11,76,82.668
12,20,117.935
12,10,86.120
13,189,102.697
13,1,123.352
14,106,81.281
14,15,86.115
15,3,120.309
15,50,81.206
16,52,219.811
16,17,81.806
17,53,223.076
17,18,109.719
18,9,122.384
18,19,108.713
19,20,89.204
19,164,95.393
19,220,75.456
20,165,93.607
20,26,123.966
21,148,20.090
21,149,29.092
22,190,35.634
22,179,29.872
23,24,155.159
24,149,42.409
24,21,36.958
25,27,168.965
25,12,79.148
26,25,120.011
27,157,66.747
28,174,34.089
28,213,97.652
29,30,20.949
29,174,19.378
30,28,13.911
30,84,99.398
31,23,84.849
33,62,15.975
33,118,26.396
34,35,112.430
35,36,189.047
36,195,27.616
36,102,237.640
37,90,25.858
37,6,211.913
38,208,25.732
38,197,30.875
38,8,16.165
39,169,44.915
39,41,87.415
40,156,118.951
40,77,79.952
41,135,14.321
41,29,150.432
42,210,115.046
42,147,59.850
43,141,43.642
43,144,95.644
44,63,89.098
44,2,181.229
45,30,97.262
45,180,31.133
46,47,114.487
46,85,112.320
47,49,87.525
47,15,219.757
48,215,43.518
48,49,185.615
48,46,120.992
49,50,219.222
49,52,93.558
50,4,121.317
50,16,84.639
51,69,73.064
52,95,24.425
52,182,64.359
53,173,41.151
54,7,189.689
54,79,73.821
55,18,226.375
55,196,106.180
56,47,93.764
56,85,68.799
57,91,57.316
57,56,106.009
58,78,101.830
58,80,217.940
58,107,90.080
59,143,23.325
60,94,164.359
61,119,104.277
62,188,16.909
62,32,57.799
63,88,175.043
63,64,88.579
64,61,18.011
64,158,74.172
66,156,78.244
66,77,120.093
67,155,147.620
67,66,79.822
68,100,125.293
68,150,183.676
69,44,79.005
70,54,109.722
71,22,141.961
72,71,66.075
73,41,24.430
73,34,36.985
74,73,14.848
75,67,78.301
75,76,123.464
76,78,171.264
