u,v,w
0,200,63.952
1,318,12.097
1,2,119.581
1,303,192.135
2,1,119.581
2,324,17.096
2,295,111.631
3,57,108.349
3,250,267.087
4,13,10.357
4,60,33.878
5,3,47.348
6,40,29.570
6,44,174.721
7,319,19.681
7,6,59.514
8,7,87.696
9,26,164.379
9,8,170.418
10,52,37.017
10,209,440.250
11,256,6.439
11,255,83.498
12,307,9.847
13,4,10.357
13,59,35.138
13,204,127.100
14,53,174.798
14,43,178.056
15,65,23.028
15,253,23.386
16,19,158.719
17,213,174.718
18,66,125.777
18,252,75.819
19,316,325.718
19,30,321.123
20,23,107.910
20,33,114.611
21,193,25.463
21,318,60.765
21,296,192.582
22,36,46.325
22,292,43.203
22,38,102.492
23,20,107.910
23,303,95.363
23,296,69.038
24,34,87.035
24,220,55.687
24,25,150.808
25,292,24.524
25,293,27.991
25,24,150.808
26,14,200.935
27,8,158.602
27,26,170.587
28,61,262.762
28,150,84.710
29,163,89.145
29,164,97.825
30,32,89.781
31,32,192.637
31,11,78.729
32,177,84.738
33,35,79.234
33,20,114.611
33,34,122.508
34,24,87.035
34,303,14.656
34,33,122.508
35,36,115.006
35,33,79.234
35,220,83.777
35,38,271.953
36,22,46.325
36,35,115.006
36,220,130.536
37,294,83.251
37,325,76.778
38,41,45.585
38,266,73.365
38,22,102.492
38,35,271.953
39,42,61.866
40,222,38.071
41,38,45.585
41,44,43.484
41,40,190.649
42,226,110.431
42,41,92.827
43,300,52.979
43,27,175.265
43,39,132.583
44,226,31.061
44,41,43.484
45,6,186.080
45,50,170.935
46,221,73.858
46,48,117.716
47,289,3.931
48,45,113.170
48,245,117.175
49,45,153.213
50,45,170.935
50,222,114.987
51,47,82.195
52,219,35.513
52,216,254.740
53,175,197.363
53,14,174.798
54,310,66.479
54,55,102.750
55,37,29.372
56,196,69.452
56,250,68.527
57,58,123.964
57,311,100.828
57,55,78.278
58,57,123.964
59,60,10.558
59,56,153.890
60,186,178.033
61,150,192.911
61,217,396.358
61,112,80.002
62,63,86.877
63,62,86.877
63,64,122.463
64,65,152.902
65,15,23.028
66,64,124.389
66,251,136.638
67,182,64.776
68,30,169.247
68,67,471.286
69,227,8.413
70,278,8.497
70,69,558.459
71,72,8.593
71,230,5.848
72,234,66.855
73,211,10.012
73,229,81.951
74,134,142.550
74,130,387.038
75,96,252.024
76,75,71.789
77,78,91.839
77,81,33.673
77,79,161.616
78,77,91.839
79,76,53.416
80,81,61.416
81,82,10.110
81,80,61.416
81,77,33.673
82,81,10.110
83,231,220.257
83,85,294.966
84,83,38.556
84,264,16.505
85,276,209.110
85,232,55.898
86,353,20.274
86,87,77.831
87,89,40.409
87,352,7.477
88,89,120.320
89,88,120.320
89,69,316.809
90,251,4.693
91,146,180.364
91,93,311.243
91,92,101.808
92,95,92.562
92,94,248.995
92,91,101.808
93,79,12.977
93,91,311.243
94,92,248.995
94,73,22.523
95,92,92.562
95,97,59.937
95,337,139.449
95,96,237.330
96,95,237.330
96,75,252.024
96,97,234.439
97,98,84.295
97,95,59.937
97,96,234.439
98,97,84.295
99,100,23.960
99,336,53.102
99,342,69.836
99,351,57.388
100,99,23.960
100,337,61.343
100,101,59.631
101,100,59.631
101,336,50.840
101,237,309.651
102,342,39.098
102,242,382.741
102,239,323.127
103,104,119.105
104,103,119.105
104,236,46.899
105,236,207.788
106,342,239.465
107,341,196.820
107,242,64.164
108,244,80.234
109,110,179.346
110,109,179.346
110,282,154.238
110,243,258.195
111,113,153.764
111,262,150.375
112,254,88.083
112,113,60.569
112,61,80.002
113,119,237.647
113,111,153.764
114,115,237.361
114,280,196.357
115,114,237.361
116,117,84.323
117,116,84.323
117,119,51.449
117,118,282.579
118,117,282.579
119,117,51.449
119,121,244.722
119,120,129.292
120,125,162.476
121,114,83.897
121,123,149.354
122,123,52.323
123,122,52.323
123,279,50.263
123,121,149.354
124,322,11.141
124,280,85.321
125,124,146.288
125,323,14.385
126,338,577.461
126,127,47.800
127,71,66.479
127,281,615.457
127,233,40.192
128,284,70.147
129,131,392.192
129,243,83.621
130,135,51.036
130,140,8.357
130,74,387.038
131,145,30.262
131,129,392.192
131,132,326.359
132,131,326.359
132,129,73.204
133,143,44.771
133,135,47.877
133,134,354.022
134,133,354.022
134,240,7.253
134,132,93.659
135,133,47.877
135,130,51.036
135,136,117.880
136,135,117.880
137,138,66.314
137,283,97.616
138,137,66.314
139,140,64.954
140,130,8.357
140,285,68.803
140,139,64.954
141,142,34.145
142,141,34.145
142,288,79.240
142,143,137.518
143,145,35.780
143,133,44.771
143,142,137.518
144,145,83.804
145,131,30.262
145,143,35.780
145,144,83.804
146,91,180.364
146,148,93.624
146,264,259.171
147,148,73.939
148,147,73.939
148,146,93.624
148,215,39.872
149,86,50.696
149,277,296.027
150,260,9.971
150,217,189.573
151,155,93.192
151,225,37.166
152,46,75.684
153,185,47.467
153,217,145.301
154,28,16.487
155,154,114.558
156,157,79.640
156,216,200.601
157,156,79.640
157,159,75.343
158,263,229.914
158,10,66.329
159,263,67.092
159,10,226.804
160,158,71.338
161,157,55.480
162,314,49.816
162,172,167.355
162,164,92.765
163,315,52.591
164,168,172.167
165,207,209.608
166,167,114.210
167,166,114.210
167,171,84.488
167,169,186.328
168,171,60.257
168,28,228.702
169,206,53.432
169,170,58.242
169,172,130.397
169,167,186.328
170,169,58.242
171,168,60.257
171,167,84.488
171,172,200.394
172,173,67.656
172,162,167.355
172,169,130.397
172,171,200.394
173,172,67.656
173,261,97.199
174,261,32.428
174,207,206.029
175,301,13.092
175,350,30.391
175,53,197.363
176,31,37.233
177,176,181.224
177,225,116.484
178,179,87.724
179,63,51.943
179,178,87.724
180,334,11.011
180,67,34.132
181,182,119.766
182,181,119.766
182,316,111.856
183,208,360.892
183,184,319.887
184,183,320.183
184,227,390.377
185,152,33.108
185,224,25.662
186,250,45.283
187,218,31.332
187,223,85.736
188,247,29.280
188,246,52.578
189,268,340.585
190,214,11.941
191,192,34.891
191,308,31.165
191,329,7.131
192,317,51.177
192,191,34.891
192,330,6.530
193,21,25.463
193,317,30.393
193,332,6.187
194,54,57.876
194,195,96.046
195,194,96.046
196,194,51.798
196,197,38.638
197,196,38.638
197,197,161.109
198,306,10.524
198,12,20.787
199,305,14.225
199,198,53.811
200,201,20.407
201,202,30.400
202,203,34.816
203,4,244.209
204,304,15.229
204,199,193.542
205,206,53.290
205,258,495.945
206,169,53.432
206,205,53.290
207,165,209.608
207,174,206.029
208,210,21.178
208,183,360.892
209,246,5.772
209,189,111.982
210,248,109.756
211,269,32.189
211,234,7.862
211,73,10.012
211,240,242.847
212,230,126.053
212,273,352.436
213,335,16.027
213,16,16.587
214,5,35.174
215,84,164.675
215,148,39.872
216,51,168.553
217,154,181.741
217,61,396.358
217,153,145.301
218,190,61.243
219,224,16.863
219,221,341.479
219,153,85.597
220,35,83.777
220,24,55.687
220,36,130.536
221,51,21.637
222,187,32.438
223,214,19.078
223,321,10.318
224,152,30.015
224,267,31.154
225,275,49.407
226,27,146.768
226,44,31.061
226,42,110.431
227,274,187.384
227,184,390.377
227,228,47.755
228,120,252.512
228,254,16.529
229,215,47.442
229,231,166.331
230,270,14.201
230,269,44.212
231,83,220.257
231,232,116.367
232,149,45.242
233,71,31.872
233,287,33.160
234,211,7.862
234,74,98.714
234,343,365.476
235,240,202.834
236,105,207.788
236,94,62.451
237,101,309.651
237,104,54.098
238,241,34.465
239,102,323.127
239,238,75.666
240,241,8.744
240,134,7.253
240,235,202.834
240,211,242.847
241,240,8.744
241,237,58.429
242,102,382.741
242,239,76.017
243,110,258.195
243,109,64.849
244,108,80.234
244,340,15.821
245,47,29.395
245,49,27.908
246,249,107.323
246,190,8.256
247,209,24.421
248,249,6.953
248,218,53.420
249,208,124.782
249,189,14.433
251,90,4.693
251,66,136.638
251,354,401.654
252,15,30.627
252,253,21.428
253,17,103.696
254,112,88.083
254,113,68.284
254,228,16.529
255,180,295.817
256,68,45.060
256,255,77.972
257,259,21.940
257,151,125.175
258,205,495.945
258,259,28.827
259,176,100.745
260,257,8.883
260,258,29.534
261,174,32.428
262,326,19.003
262,111,150.375
263,159,67.092
263,158,229.914
264,93,169.880
264,146,259.171
265,266,131.466
266,311,74.008
266,38,73.365
266,265,131.466
267,50,253.723
268,267,19.761
268,219,26.524
269,211,32.189
269,270,46.278
270,229,6.719
270,212,126.397
271,272,58.654
271,235,52.312
273,212,352.436
273,274,157.286
274,227,187.384
274,273,156.804
275,29,493.670
275,155,50.304
276,85,209.110
277,149,296.027
278,70,8.497
279,123,50.263
280,126,96.178
281,127,615.457
282,110,154.238
283,137,97.616
283,284,62.966
283,355,73.199
284,285,258.768
284,128,70.147
284,283,62.966
285,343,20.540
285,140,68.803
285,284,258.768
286,344,269.784
287,72,17.967
287,344,343.891
288,142,79.240
289,49,30.431
289,9,131.711
290,313,41.634
290,291,102.360
291,290,102.360
292,22,43.203
292,25,24.524
292,294,46.102
293,25,27.991
293,294,33.910
293,324,85.276
294,37,83.251
294,292,46.102
