u,v,w
0,1,241.572
1,521,101.261
1,536,168.251
2,53,378.867
3,530,147.577
4,61,41.434
4,1273,35.381
5,402,147.662
5,591,102.765
6,88,128.470
6,1210,280.941
8,1221,234.440
8,78,77.807
9,1805,108.655
9,1888,269.606
10,399,167.040
11,46,78.688
11,1319,391.061
12,830,84.180
12,829,241.505
13,14,408.009
14,1449,340.058
14,1446,301.377
15,18,240.684
15,16,108.653
16,1636,126.301
17,18,154.668
17,16,143.860
18,1082,33.326
19,607,260.572
19,1230,245.905
19,579,238.005
20,77,180.444
20,609,232.502
21,22,191.099
22,617,202.917
22,23,200.785
23,19,265.109
24,780,129.217
25,21,274.803
26,1227,216.483
27,1634,40.901
27,544,47.949
28,530,107.945
28,1272,250.039
29,414,153.726
30,34,58.612
31,831,109.863
32,56,71.184
32,829,41.948
33,13,99.555
33,230,216.768
34,731,72.969
34,1031,149.499
35,36,18.359
36,728,34.813
36,726,422.927
37,1313,170.749
38,30,174.594
38,731,299.956
39,1167,17.583
39,1316,54.654
40,510,90.910
41,42,116.797
41,790,572.671
42,725,285.129
43,10,113.477
43,864,231.834
44,45,120.120
44,587,142.104
45,1709,310.045
46,855,163.062
47,844,32.756
47,52,89.863
48,465,17.125
48,1169,34.376
49,1686,69.200
49,593,203.423
50,863,53.378
50,49,87.858
51,1169,17.860
51,465,35.815
52,589,69.883
53,54,124.344
53,776,439.534
54,228,102.974
55,1236,200.190
56,1359,56.648
56,745,51.510
57,1699,20.014
57,1274,21.257
58,3,128.614
58,1149,94.695
59,1328,21.823
59,1534,39.159
60,12,109.660
60,524,31.318
61,62,144.976
61,865,446.895
62,592,85.740
63,64,120.218
63,1684,214.182
64,1324,257.780
65,865,40.525
65,591,219.292
66,595,24.930
67,1457,30.938
67,1012,29.382
68,1210,36.615
68,1212,54.596
69,645,64.623
70,982,84.648
70,71,61.503
71,985,42.509
72,1216,45.960
72,1217,50.775
73,1616,130.354
74,122,78.368
74,661,230.257
75,1220,32.753
75,137,65.092
76,7,97.361
77,578,674.476
78,900,50.401
79,551,135.633
79,80,160.776
80,81,172.384
81,82,102.175
81,1214,277.239
82,83,157.488
83,1214,34.232
83,1213,46.764
84,610,388.959
85,1215,29.205
85,84,53.533
86,6,502.699
87,1352,135.256
87,1215,268.782
88,68,128.755
89,87,515.142
90,89,101.954
90,1352,747.841
91,90,99.292
92,93,101.326
92,1211,284.668
93,705,67.836
94,95,100.143
94,1620,91.716
95,767,403.414
96,646,28.281
97,98,92.483
97,923,105.306
98,92,385.064
99,954,40.144
99,100,43.698
100,955,5.735
100,466,22.491
101,97,78.284
102,1187,32.778
102,101,58.523
103,104,74.333
103,1187,228.317
104,102,132.974
105,106,414.312
106,71,106.904
106,1216,277.724
107,108,76.224
107,1261,180.537
108,103,699.053
109,107,76.437
110,111,56.851
110,109,100.102
111,1240,4.193
111,467,25.449
112,1217,20.768
112,1617,85.985
113,114,74.603
113,111,219.510
114,110,96.723
115,123,589.383
116,1363,18.467
116,115,76.378
117,124,159.127
118,1218,25.063
118,117,58.303
119,74,97.199
120,1702,104.039
120,1218,241.086
121,1702,23.860
122,772,279.672
123,73,78.397
123,964,234.548
124,920,56.703
124,918,12.310
125,113,576.929
126,1219,32.061
126,1715,54.842
127,128,102.723
128,662,365.703
128,129,105.078
129,120,228.666
130,126,142.933
131,132,77.551
131,134,334.782
132,133,185.021
133,134,77.671
133,1220,236.119
134,583,84.717
135,667,51.971
135,901,41.470
136,1221,24.856
136,135,41.866
137,76,69.648
138,139,79.271
138,1805,280.783
139,9,96.331
140,165,130.424
140,166,208.547
141,1417,116.554
141,165,94.466
142,15,160.236
143,144,33.131
144,145,79.629
145,502,36.390
146,202,113.590
146,537,196.893
147,1428,73.396
147,1631,54.656
148,1341,63.690
149,961,54.130
150,298,67.270
150,295,95.068
151,1147,117.214
152,153,78.725
