u,v,w
72,27,8
38,75,7
10,17,3
59,16,10
31,59,10
26,34,9
33,31,5
41,13,3
66,56,5
19,57,9
75,74,8
26,53,7
10,20,4
16,36,8
57,2,2
37,65,5
52,42,9
75,72,1
16,60,2
11,35,8
39,70,1
78,48,6
50,25,2
23,62,4
55,41,10
30,60,8
68,23,4
28,34,7
66,62,4
29,73,10
58,19,7
15,59,5
61,44,6
59,23,1
32,29,2
2,34,10
18,49,4
72,36,8
42,52,8
33,48,6
23,74,7
66,46,10
70,42,6
15,19,8
62,9,10
43,51,3
42,40,9
29,52,1
45,38,7
74,2,10
10,54,3
13,1,10
62,15,1
70,69,7
22,38,1
32,47,3
20,0,7
8,35,7
24,10,4
14,8,7
48,61,1
8,64,6
3,63,6
24,40,2
78,68,8
47,60,9
43,48,5
75,31,2
77,30,3
69,63,8
75,42,2
35,76,5
57,76,8
40,60,7
45,33,6
53,77,10
7,78,2
40,32,6
79,19,4
27,61,5
30,73,7
13,55,6
48,57,8
59,53,1
76,65,3
58,9,4
22,66,5
31,15,9
79,28,9
31,39,10
59,55,10
0,36,5
43,64,5
68,16,5
72,5,6
22,70,2
49,19,8
52,6,4
58,41,4
14,51,9
37,28,7
62,3,7
68,3,7
67,44,7
75,67,10
5,6,9
36,60,8
56,43,3
26,27,5
44,52,6
53,61,8
36,12,4
29,49,3
37,16,8
31,58,9
56,12,9
60,2,9
10,76,1
39,73,7
53,32,2
6,32,8
8,5,1
18,9,1
4,16,9
27,58,6
28,19,5
38,76,2
51,34,9
13,74,1
71,1,9
4,58,2
28,14,8
52,62,9
53,68,9
36,30,5
34,41,4
0,69,8
6,19,3
39,72,10
37,29,6
33,75,4
27,8,7
36,51,9
31,25,1
37,4,4
58,34,5
32,3,2
63,56,1
21,39,10
1,53,8
5,22,8
62,11,8
6,44,4
14,20,5
54,14,9
72,38,2
35,56,2
70,52,2
68,54,6
77,28,8
