vertex,dist
0,0.000000
1,10.000000
2,17.000000
3,18.000000
4,19.000000
5,21.000000
6,25.000000
7,29.000000
8,38.000000
9,48.000000
10,49.000000
11,58.000000
12,62.000000
13,71.000000
14,78.000000
15,82.000000
16,90.000000
17,100.000000
18,105.000000
19,106.000000
20,109.000000
21,116.000000
22,122.000000
23,127.000000
24,130.000000
25,134.000000
26,140.000000
27,142.000000
28,144.000000
29,151.000000
30,153.000000
31,159.000000
32,165.000000
33,175.000000
34,180.000000
35,181.000000
36,189.000000
37,198.000000
38,200.000000
39,207.000000
40,209.000000
41,218.000000
42,223.000000
43,233.000000
44,239.000000
45,249.000000
46,253.000000
47,255.000000
48,256.000000
49,260.000000
