vertex,dist
0,0.000000
1,1119.834000
2,1000.253000
3,1673.246000
4,393.784000
5,1625.898000
6,1752.175000
7,1692.661000
8,1604.965000
9,INF
10,INF
11,INF
12,799.381000
13,404.141000
14,1817.885000
15,INF
16,INF
17,INF
18,INF
19,INF
20,1432.149000
21,1192.696000
22,1076.973000
23,1397.431000
24,1200.377000
25,1049.569000
26,1616.950000
27,1446.363000
28,INF
29,INF
30,INF
31,INF
32,INF
33,1317.538000
34,1287.412000
35,1238.304000
36,1123.298000
37,904.417000
38,1179.465000
39,2128.524000
40,1415.699000
41,1225.050000
42,1410.026000
43,1995.941000
44,1268.534000
45,INF
46,INF
47,INF
48,INF
49,INF
50,INF
51,INF
52,INF
53,1992.683000
54,772.295000
55,875.045000
56,593.169000
57,1427.666000
58,1551.630000
59,439.279000
60,427.662000
61,INF
62,INF
63,INF
64,INF
65,INF
66,INF
67,INF
68,INF
69,INF
70,INF
71,INF
72,INF
73,INF
74,INF
75,INF
76,INF
77,INF
78,INF
79,INF
80,INF
81,INF
82,INF
83,INF
84,INF
85,INF
86,INF
87,INF
88,INF
89,INF
90,INF
91,INF
92,INF
93,INF
94,INF
95,INF
96,INF
97,INF
98,INF
99,INF
100,INF
101,INF
102,INF
103,INF
104,INF
105,INF
106,INF
107,INF
108,INF
109,INF
110,INF
111,INF
112,INF
113,INF
114,INF
115,INF
116,INF
117,INF
118,INF
119,INF
120,INF
121,INF
122,INF
123,INF
124,INF
125,INF
126,INF
127,INF
128,INF
129,INF
130,INF
131,INF
132,INF
133,INF
134,INF
135,INF
136,INF
137,INF
138,INF
139,INF
140,INF
141,INF
142,INF
143,INF
144,INF
145,INF
146,INF
147,INF
148,INF
149,INF
150,INF
151,INF
152,INF
153,INF
154,INF
155,INF
156,INF
157,INF
158,INF
159,INF
160,INF
161,INF
162,INF
163,INF
164,INF
165,INF
166,INF
167,INF
168,INF
169,INF
170,INF
171,INF
172,INF
173,INF
174,INF
175,2152.417000
176,INF
177,INF
178,INF
179,INF
180,INF
181,INF
182,INF
183,INF
184,INF
185,INF
186,605.695000
187,1486.208000
188,INF
189,INF
190,1578.783000
191,1334.620000
192,1299.729000
193,1218.159000
194,714.419000
195,810.465000
196,662.621000
197,701.259000
198,778.594000
199,724.783000
200,63.952000
201,84.359000
202,114.759000
203,149.575000
204,531.241000
205,INF
206,INF
207,INF
208,INF
209,INF
210,INF
211,INF
212,INF
213,INF
214,1590.724000
215,INF
216,INF
217,INF
218,1517.540000
219,INF
220,1253.834000
221,INF
222,1453.770000
223,1571.944000
224,INF
225,INF
226,1299.595000
227,INF
228,INF
229,INF
230,INF
231,INF
232,INF
233,INF
234,INF
235,INF
236,INF
237,INF
238,INF
239,INF
240,INF
241,INF
242,INF
243,INF
244,INF
245,INF
246,INF
247,INF
248,INF
249,INF
250,650.978000
251,INF
252,INF
253,INF
254,INF
255,INF
256,INF
257,INF
258,INF
259,INF
260,INF
261,INF
262,INF
263,INF
264,INF
265,1384.296000
266,1252.830000
267,INF
268,INF
269,INF
270,INF
271,INF
272,INF
273,INF
274,INF
275,INF
276,INF
277,INF
278,INF
279,INF
280,INF
281,INF
282,INF
283,INF
284,INF
285,INF
286,INF
287,INF
288,INF
289,INF
290,INF
291,INF
292,1033.770000
293,1021.578000
294,987.668000
295,1111.884000
296,1385.278000
297,2158.771000
298,2086.711000
299,2115.744000
300,2048.920000
301,2139.325000
302,2275.987000
303,1302.068000
304,546.470000
305,739.008000
306,789.118000
307,809.228000
308,1365.785000
309,870.884000
310,838.774000
311,1326.838000
312,INF
313,INF
314,INF
315,INF
316,INF
317,1248.552000
318,1131.931000
319,1712.342000
320,881.520000
321,1582.262000
322,INF
323,INF
324,1000.669000
325,981.195000
326,INF
327,1343.473000
328,1372.416000
329,1341.751000
330,1306.259000
331,1257.889000
332,1224.346000
333,1138.541000
334,INF
335,INF
336,INF
337,INF
338,INF
339,INF
340,INF
341,INF
342,INF
343,INF
344,INF
345,2107.654000
346,2230.654000
347,2251.261000
348,2124.170000
349,2285.214000
350,2182.808000
351,INF
352,INF
353,INF
354,INF
355,INF
