vertex,dist
0,0.000000
1,241.572000
2,1538.532000
3,2892.712000
4,3180.677000
5,3754.476000
6,8898.176000
7,13835.335000
8,INF
9,13998.565000
10,5845.810000
11,5052.460000
12,3189.031000
13,2813.690000
14,3221.699000
15,7225.762000
16,7334.415000
17,7940.022000
18,7466.446000
19,8278.803000
20,8648.816000
21,7621.810000
22,7812.909000
23,8013.694000
24,6998.973000
25,7347.007000
26,7211.844000
27,3056.141000
28,2940.229000
29,8630.169000
30,8998.039000
31,4034.902000
32,3398.086000
33,2718.312000
34,9056.651000
35,5815.509000
36,5833.868000
37,5984.520000
38,8831.881000
39,5590.575000
40,5640.898000
41,5012.082000
42,5128.879000
43,5732.333000
44,4555.307000
45,4669.241000
46,5131.148000
47,4104.851000
48,4132.371000
49,4176.049000
50,4563.116000
51,4604.857000
52,4194.714000
53,1917.399000
54,2041.743000
55,2417.110000
56,3469.270000
57,2693.787000
58,2768.534000
59,3046.958000
60,3079.371000
61,3222.111000
62,3367.087000
63,3803.188000
64,3914.502000
65,3638.134000
66,3736.423000
67,8945.517000
68,9155.401000
69,10097.777000
70,10945.655000
71,11007.158000
72,11154.349000
73,12118.331000
74,12410.675000
75,13606.665000
76,13741.405000
77,8812.191000
78,INF
79,7740.626000
80,7712.556000
81,7884.940000
82,7987.115000
83,8144.603000
84,8221.458000
85,10190.989000
86,8395.477000
87,9934.418000
88,9026.646000
89,9419.276000
90,9334.274000
91,9234.982000
92,10642.904000
93,10281.531000
94,9322.650000
95,9416.283000
96,9904.010000
97,10179.436000
98,10257.840000
99,10024.080000
100,10053.544000
101,10101.152000
102,12292.523000
103,12085.216000
104,12159.549000
105,10488.355000
106,10902.667000
107,11321.507000
108,11386.163000
109,11245.070000
110,13321.535000
111,13369.719000
112,11210.153000
113,13150.209000
114,13224.812000
115,11450.551000
116,11380.548000
117,12337.832000
118,13728.494000
119,12313.476000
120,13500.560000
121,13582.919000
122,12482.228000
123,12039.934000
124,12496.959000
125,12573.280000
126,12985.202000
127,13070.443000
128,13173.166000
129,13271.894000
130,12842.269000
131,13138.172000
132,13209.244000
133,13394.265000
134,13471.936000
135,13680.079000
136,14096.283000
137,13671.757000
138,13841.010000
139,13902.234000
140,6203.221000
141,6385.474000
142,7065.526000
143,1547.629000
144,1535.270000
145,1614.899000
146,555.231000
147,INF
148,1200.766000
149,1693.746000
150,1766.255000
151,2582.898000
152,4024.928000
153,4103.653000
154,3686.964000
155,4100.765000
156,3755.760000
157,4018.378000
158,2717.526000
159,6259.663000
160,6167.249000
161,5984.097000
162,5891.972000
163,5802.472000
164,6075.651000
165,6292.604000
166,6411.768000
167,5984.909000
168,6017.154000
169,6085.443000
170,5784.188000
171,5660.983000
172,5625.995000
173,7886.269000
174,8143.923000
175,7841.261000
176,8696.231000
177,7220.642000
178,6046.627000
179,6256.914000
180,5545.209000
181,5917.131000
182,4900.466000
183,15699.308000
184,14869.901000
185,4476.216000
186,4595.932000
187,4749.923000
188,4248.744000
189,4587.107000
190,3174.469000
191,2548.331000
192,2543.915000
193,2480.312000
194,2766.875000
195,2645.451000
196,3345.915000
197,2035.796000
198,2068.367000
199,2153.717000
200,1816.824000
201,1930.343000
202,521.958000
203,2240.030000
204,2225.761000
205,2183.704000
206,2619.061000
207,1965.382000
208,1952.602000
209,2573.938000
210,2708.846000
211,2633.210000
212,1672.500000
213,2155.963000
214,1788.864000
215,1973.975000
216,2582.143000
217,2573.371000
218,2244.843000
219,2076.772000
220,2283.661000
221,2587.759000
222,2531.051000
223,2378.985000
224,2391.314000
225,2606.170000
226,2902.821000
227,3375.638000
228,2144.717000
229,INF
230,2935.080000
231,3479.875000
232,4115.304000
233,4716.961000
234,5095.533000
235,5015.830000
236,5374.846000
237,6007.582000
238,5882.715000
239,5679.579000
240,5916.249000
241,6081.510000
242,6170.615000
243,6636.582000
244,6690.828000
245,6747.444000
246,6805.968000
247,6869.129000
248,6917.012000
249,7215.587000
250,7609.079000
251,7669.993000
252,7528.257000
253,7076.247000
254,8655.315000
255,7882.811000
256,7817.062000
257,7805.950000
258,7749.678000
259,7905.667000
260,8238.537000
261,7291.946000
262,7001.666000
263,7070.153000
264,7224.417000
265,6429.875000
266,6869.831000
267,6531.374000
268,7014.632000
269,6651.467000
270,6221.398000
271,6654.780000
272,6703.452000
273,4200.189000
274,2385.658000
275,2006.074000
276,15258.782000
277,2334.454000
278,2250.695000
279,2165.968000
280,2078.748000
281,1964.745000
282,2433.830000
283,2377.377000
284,2499.849000
285,2315.921000
286,2806.181000
287,2487.939000
288,2070.842000
289,2141.428000
290,2005.758000
291,1886.627000
292,1892.512000
293,1903.363000
294,1914.615000
295,1861.323000
296,1870.096000
297,1874.365000
298,1833.525000
299,2437.958000
300,2617.966000
301,2760.716000
302,2446.698000
303,2521.583000
304,2510.616000
305,2235.246000
306,2249.838000
307,2296.303000
308,2427.225000
309,2350.541000
310,2196.520000
311,2762.267000
312,2695.719000
313,2371.645000
314,2241.782000
315,2401.816000
316,2340.230000
317,2011.705000
318,1990.994000
319,2337.212000
320,2281.824000
321,2296.715000
322,2898.798000
323,2957.330000
324,2811.944000
325,3216.847000
326,2695.360000
327,2308.803000
328,2295.242000
329,2255.427000
330,2208.400000
331,1729.069000
332,1823.332000
333,1943.397000
334,2058.373000
335,2114.949000
336,2447.884000
337,2344.959000
338,2106.639000
339,1546.084000
340,1689.481000
341,1740.263000
342,1877.186000
343,2281.670000
344,2283.706000
345,2299.645000
346,2312.874000
347,2314.827000
348,2267.709000
349,2271.238000
350,2360.843000
351,2356.970000
352,2344.283000
353,2335.030000
354,2359.447000
355,2528.735000
356,2281.193000
357,2482.345000
358,2497.738000
359,2452.880000
360,2459.197000
361,2466.985000
362,2476.542000
363,2462.010000
364,2340.269000
365,2098.061000
366,2527.265000
367,3004.978000
368,2609.169000
369,INF
370,2956.274000
371,2426.506000
372,2494.718000
373,4477.661000
374,4190.606000
375,4711.406000
376,4511.118000
377,5193.754000
378,4130.336000
379,4207.885000
380,4786.341000
381,4670.864000
382,4557.671000
383,4713.833000
384,4596.757000
385,4482.349000
386,4492.215000
387,4742.482000
388,4789.363000
389,4378.822000
390,4857.170000
391,4836.126000
392,6143.036000
393,4609.835000
394,5618.542000
395,5192.957000
396,5599.279000
397,1719.109000
398,1884.153000
399,5207.893000
400,4402.842000
401,4423.660000
402,3902.138000
403,3932.610000
404,5188.998000
405,5004.067000
406,2073.114000
407,1952.735000
408,1810.847000
409,1724.742000
410,1639.773000
411,1371.166000
412,3543.125000
413,4576.628000
414,8783.895000
415,8703.313000
416,INF
417,2382.085000
418,2465.660000
419,2124.503000
420,1861.073000
421,2215.490000
422,2202.831000
423,2508.314000
424,8081.134000
425,2431.062000
426,2727.066000
427,2816.360000
428,2931.693000
429,2127.194000
430,2404.875000
431,2234.786000
432,8694.233000
433,6778.245000
434,8212.037000
435,6464.158000
436,7548.744000
437,8378.359000
438,8321.258000
439,7852.997000
440,7902.980000
441,8270.975000
442,3647.688000
443,3692.418000
444,3526.800000
445,5632.243000
446,5655.441000
447,5878.616000
448,5131.031000
449,4441.571000
450,5370.975000
451,4827.178000
452,5750.143000
453,5769.367000
454,4735.497000
455,5728.177000
456,5678.262000
457,5423.343000
458,5361.060000
459,5399.521000
460,5744.232000
461,4649.904000
462,5964.224000
463,5980.970000
464,6077.185000
465,4149.496000
466,10076.035000
467,11211.684000
468,10076.880000
469,9203.510000
470,9204.239000
471,4276.398000
472,5377.391000
473,5500.030000
474,5486.576000
475,5390.513000
476,4587.885000
477,5104.727000
478,4836.954000
479,4908.782000
480,5056.548000
481,5065.443000
482,5094.584000
483,5008.058000
484,5933.625000
485,5915.438000
486,5257.961000
487,5273.978000
488,1724.559000
489,1808.459000
490,1704.733000
491,1799.429000
492,1832.391000
493,2004.706000
494,1921.416000
495,1609.621000
496,1625.706000
497,1805.750000
498,1597.296000
499,1457.934000
500,1502.143000
501,1509.705000
502,1496.647000
503,900.770000
504,1393.479000
505,1379.705000
506,1213.252000
507,1161.388000
508,1185.017000
509,INF
510,5731.808000
511,5654.552000
512,5494.113000
513,5615.109000
514,1557.672000
515,1287.506000
516,1820.438000
517,1461.477000
518,2580.887000
519,2290.356000
520,488.326000
521,342.833000
522,3213.055000
523,3301.161000
524,3110.689000
525,INF
526,1083.499000
527,4042.863000
528,4056.623000
529,2336.405000
530,3040.289000
531,2225.432000
532,1976.436000
533,1220.758000
534,1910.095000
535,2522.626000
536,409.823000
537,752.124000
538,1770.092000
539,2525.019000
540,2584.910000
541,1669.412000
542,1632.362000
543,1792.397000
544,3104.090000
545,12301.516000
546,13039.298000
547,8158.797000
548,8130.972000
549,7996.043000
550,8805.366000
551,7876.259000
552,8399.475000
553,8229.751000
554,8731.157000
555,8339.202000
556,8785.927000
557,9793.683000
558,8766.280000
559,8248.397000
560,8667.195000
561,10856.230000
562,8804.320000
563,11865.738000
564,10811.887000
565,10320.533000
566,11628.158000
567,11776.822000
568,11395.162000
569,11419.451000
570,10127.757000
571,10526.188000
572,11436.346000
573,9822.297000
574,8104.836000
575,8865.174000
576,8552.337000
577,8557.029000
578,9486.667000
579,8516.808000
580,9254.186000
581,9001.023000
582,13630.767000
583,13556.653000
584,5351.031000
585,5330.421000
586,4988.815000
587,4697.411000
588,4486.978000
589,4264.597000
590,3995.396000
591,3857.241000
592,3452.827000
593,4379.472000
594,4589.208000
595,3761.353000
596,3929.675000
597,3840.445000
598,4568.699000
599,4875.615000
600,4648.798000
601,4736.746000
602,4720.177000
603,4731.889000
604,4794.534000
605,5032.003000
606,4504.774000
607,8539.375000
608,8917.984000
609,8881.318000
610,8610.417000
611,10123.769000
612,10141.356000
613,8956.166000
614,8972.357000
615,8757.622000
616,9430.923000
617,8015.826000
618,8604.604000
619,8930.121000
620,11711.449000
621,11741.660000
622,11102.265000
623,9207.102000
624,9424.526000
625,11807.671000
626,8538.503000
627,8554.572000
628,10051.364000
629,11090.002000
630,8463.879000
631,9954.493000
632,11241.960000
633,10071.419000
634,10428.601000
635,10270.171000
636,10252.168000
637,10011.732000
638,10252.596000
639,10166.518000
640,8255.114000
641,10231.923000
642,10189.310000
643,10191.082000
644,10202.080000
645,10162.400000
646,9932.291000
647,9842.674000
648,9782.063000
649,9302.752000
650,9279.619000
651,9307.181000
652,11919.752000
653,12034.301000
654,10115.153000
655,11379.659000
656,11461.068000
657,12024.106000
658,12328.593000
659,INF
660,12256.064000
661,12640.932000
662,13538.869000
663,13586.551000
664,14215.199000
665,14195.766000
666,14115.927000
667,13732.050000
668,INF
669,13782.469000
670,INF
671,14429.026000
672,14237.418000
673,14404.628000
674,14714.525000
675,7658.719000
676,7789.377000
677,7637.700000
678,8399.406000
679,8294.095000
680,8288.160000
681,8544.777000
682,7399.318000
683,8805.529000
684,7093.994000
685,8571.642000
686,8255.280000
687,7970.033000
688,8030.514000
689,7801.219000
690,7793.155000
691,10056.893000
692,10003.957000
693,9813.523000
694,9710.214000
695,9482.334000
696,9489.121000
697,9579.589000
698,9688.505000
699,9554.453000
700,9703.540000
701,10822.259000
702,10559.100000
703,10235.779000
704,9984.265000
705,10349.367000
706,9620.078000
707,9915.189000
708,9899.323000
709,10037.909000
710,9922.470000
711,9891.886000
712,10080.071000
713,9936.053000
714,9966.351000
715,9529.856000
716,9539.793000
717,9554.589000
718,9494.210000
719,9391.437000
720,9413.098000
721,5866.822000
722,5982.556000
723,5103.445000
724,5986.539000
725,5414.008000
726,6256.795000
727,3677.950000
728,5868.681000
729,5794.766000
730,5794.051000
731,9129.620000
732,5792.180000
733,4212.726000
734,4200.210000
735,4171.290000
736,4238.550000
737,4133.011000
738,3958.538000
739,4419.002000
