vertex,dist
0,0.000000
1,40.000000
2,22.000000
3,52.000000
4,INF
5,80.000000
6,42.000000
7,INF
8,79.000000
9,57.000000
10,INF
11,55.000000
12,9.000000
13,30.000000
14,72.000000
15,48.000000
16,62.000000
17,INF
18,INF
19,45.000000
20,77.000000
21,INF
22,88.000000
23,54.000000
24,INF
25,99.000000
26,INF
27,105.000000
28,66.000000
29,52.000000
30,10.000000
31,98.000000
32,50.000000
33,INF
34,23.000000
35,63.000000
36,5.000000
37,INF
38,89.000000
39,108.000000
40,56.000000
41,27.000000
42,47.000000
43,20.000000
44,32.000000
45,INF
46,103.000000
47,53.000000
48,25.000000
49,55.000000
50,INF
51,14.000000
52,38.000000
53,48.000000
54,63.000000
55,36.000000
56,17.000000
57,33.000000
58,107.000000
59,53.000000
60,13.000000
61,26.000000
62,47.000000
63,16.000000
64,25.000000
65,44.000000
66,93.000000
67,106.000000
68,57.000000
69,8.000000
70,90.000000
71,INF
72,97.000000
73,17.000000
74,31.000000
75,96.000000
76,41.000000
77,58.000000
78,INF
79,INF
