vertex,dist
0,0.000000
1,5.000000
2,7.000000
3,11.000000
4,13.000000
5,20.000000
6,25.000000
7,33.000000
8,39.000000
9,42.000000
10,48.000000
11,54.000000
12,58.000000
13,63.000000
14,65.000000
15,75.000000
16,78.000000
17,87.000000
18,91.000000
19,94.000000
20,102.000000
21,109.000000
22,114.000000
23,123.000000
24,127.000000
25,133.000000
26,134.000000
27,138.000000
28,139.000000
29,145.000000
30,152.000000
31,157.000000
32,159.000000
33,163.000000
34,173.000000
35,179.000000
36,183.000000
37,191.000000
38,198.000000
39,206.000000
40,209.000000
41,214.000000
42,217.000000
43,221.000000
44,230.000000
45,239.000000
46,244.000000
47,254.000000
48,261.000000
49,271.000000
50,278.000000
51,284.000000
52,288.000000
53,291.000000
54,300.000000
55,308.000000
56,310.000000
57,311.000000
58,313.000000
59,316.000000
60,319.000000
61,326.000000
62,336.000000
63,338.000000
64,345.000000
65,352.000000
66,362.000000
67,370.000000
68,379.000000
69,384.000000
70,393.000000
71,394.000000
72,396.000000
73,405.000000
74,410.000000
75,416.000000
76,418.000000
77,423.000000
78,430.000000
79,433.000000
80,441.000000
81,442.000000
82,447.000000
83,456.000000
84,459.000000
85,468.000000
86,470.000000
87,475.000000
88,484.000000
89,494.000000
90,498.000000
91,501.000000
92,507.000000
93,510.000000
94,519.000000
95,528.000000
96,529.000000
97,539.000000
98,545.000000
99,553.000000
