vertex,dist
0,0.000000
1,8.000000
2,11.000000
3,19.000000
4,24.000000
5,26.000000
6,32.000000
7,34.000000
8,5.000000
9,7.000000
10,11.000000
11,12.000000
12,16.000000
13,18.000000
14,26.000000
15,29.000000
16,8.000000
17,8.000000
18,13.000000
19,19.000000
20,24.000000
21,19.000000
22,26.000000
23,35.000000
24,12.000000
25,15.000000
26,15.000000
27,17.000000
28,25.000000
29,28.000000
30,30.000000
31,34.000000
32,18.000000
33,22.000000
34,25.000000
35,18.000000
36,22.000000
37,24.000000
38,28.000000
39,29.000000
40,24.000000
41,26.000000
42,28.000000
43,28.000000
44,30.000000
45,33.000000
46,33.000000
47,32.000000
48,26.000000
49,34.000000
50,32.000000
51,34.000000
52,33.000000
53,34.000000
54,35.000000
55,42.000000
56,35.000000
57,38.000000
58,40.000000
59,37.000000
60,35.000000
61,35.000000
62,40.000000
63,45.000000
