vertex,dist
0,0.000000
1,22.000000
2,16.000000
3,13.000000
4,19.000000
5,21.000000
6,21.000000
7,21.000000
8,10.000000
9,14.000000
10,17.000000
11,3.000000
12,20.000000
13,19.000000
14,23.000000
15,18.000000
16,17.000000
17,19.000000
18,15.000000
19,20.000000
20,17.000000
21,16.000000
22,16.000000
23,17.000000
24,20.000000
25,20.000000
26,15.000000
27,14.000000
28,16.000000
29,21.000000
30,16.000000
31,7.000000
32,16.000000
33,12.000000
34,13.000000
35,22.000000
36,21.000000
37,17.000000
38,12.000000
39,17.000000
40,24.000000
41,21.000000
42,18.000000
43,15.000000
44,20.000000
45,17.000000
46,19.000000
47,18.000000
48,24.000000
49,11.000000
50,18.000000
51,20.000000
52,29.000000
53,21.000000
54,INF
55,15.000000
56,21.000000
57,23.000000
58,16.000000
59,25.000000
