vertex,dist
0,0.000000
1,5961.389000
2,13208.513000
3,4941.146000
4,2179.183000
5,2409.588000
6,1686.822000
7,1953.979000
8,12237.844000
9,11266.978000
10,11529.435000
11,6932.615000
12,6311.608000
13,6494.319000
14,6683.016000
15,7064.383000
16,6669.794000
17,6594.306000
18,6705.297000
19,6656.174000
20,5977.742000
21,5935.234000
22,5408.919000
23,5742.703000
24,5986.015000
25,6106.461000
26,5580.589000
27,5433.028000
28,5660.460000
29,8621.428000
30,5505.871000
31,5652.327000
32,4435.405000
33,3931.825000
34,3590.660000
35,3729.854000
36,3742.518000
37,4119.035000
38,3986.315000
39,4228.357000
40,5028.556000
41,6369.445000
42,5674.945000
43,5861.024000
44,5964.642000
45,6215.057000
46,6260.110000
47,6279.458000
48,6457.699000
49,6394.583000
50,5382.096000
51,5419.795000
52,5436.727000
53,5456.604000
54,5383.908000
55,5435.584000
56,4066.489000
57,4029.536000
58,4058.927000
59,3883.154000
60,4524.000000
61,4266.750000
62,4387.709000
63,4315.977000
64,4926.597000
65,4371.037000
66,4398.684000
67,4662.639000
68,6127.933000
69,6101.061000
70,6166.632000
71,6807.303000
72,7170.600000
73,6866.745000
74,6845.407000
75,7450.383000
76,7471.373000
77,7580.260000
78,7712.826000
79,7963.224000
80,8137.686000
81,8523.095000
82,8546.774000
83,7994.746000
84,8876.518000
85,8892.917000
86,9033.638000
87,9106.062000
88,10355.388000
89,10470.827000
90,10263.579000
91,10546.337000
92,10591.983000
93,10683.134000
94,10719.440000
95,10757.591000
96,7192.226000
97,6247.904000
98,6408.417000
99,6876.866000
100,6842.693000
101,6343.083000
102,6302.683000
103,5748.444000
104,5873.067000
105,5725.370000
106,5560.333000
107,5508.099000
108,5421.073000
109,5362.747000
110,5348.413000
111,5305.033000
112,5548.878000
113,5549.410000
114,5591.669000
115,5763.009000
116,5840.767000
117,6122.441000
118,6421.103000
119,6710.789000
120,5418.904000
121,5448.566000
122,5468.385000
123,6006.337000
124,7066.427000
125,7341.794000
126,7003.247000
127,7344.080000
128,7420.977000
129,6068.017000
130,6650.406000
131,7110.891000
132,6574.090000
133,7208.771000
134,7149.906000
135,7167.764000
136,7010.770000
137,7067.921000
138,6567.189000
139,6512.713000
140,12837.046000
141,12676.058000
142,12220.410000
143,11887.367000
144,11628.839000
145,11748.140000
146,11811.965000
147,11987.579000
148,12078.250000
149,1740.600000
150,1787.246000
151,1797.795000
152,1008.745000
153,3430.108000
154,3877.575000
155,3356.783000
156,3371.018000
157,3388.635000
158,3420.356000
159,3430.727000
160,3436.894000
161,3008.492000
162,3032.011000
163,2885.996000
164,3067.289000
165,3121.547000
166,1789.620000
167,1100.278000
168,1167.634000
169,2117.193000
170,2158.124000
171,10756.185000
172,10490.049000
173,10270.098000
174,10254.126000
175,10223.354000
176,2152.927000
177,2517.893000
178,1994.109000
179,2056.244000
180,1302.175000
181,3766.558000
182,3696.189000
183,3185.637000
184,3400.742000
185,3016.609000
186,3125.958000
187,3492.399000
188,3635.083000
189,3915.224000
190,3959.236000
191,4489.877000
192,12132.846000
193,11717.867000
194,11540.432000
195,11232.986000
196,11221.643000
197,11181.701000
198,12371.667000
199,11758.995000
200,11867.003000
201,11482.923000
202,11742.822000
203,11425.560000
204,11325.878000
205,11324.541000
206,11463.847000
207,11493.736000
208,11129.928000
209,11353.918000
210,11329.809000
211,12024.564000
212,12001.352000
213,11266.182000
214,11357.975000
215,11630.664000
216,11199.987000
217,11278.285000
218,11075.815000
219,12884.577000
220,12624.556000
221,12491.922000
222,12534.333000
223,12451.905000
224,12571.628000
225,12571.865000
226,12613.329000
227,12485.208000
228,12527.268000
229,12940.555000
230,12015.133000
231,11163.277000
232,10958.324000
233,10877.257000
234,9976.076000
235,9808.864000
236,9806.844000
237,8736.736000
238,9838.520000
239,9903.466000
240,10382.635000
241,10008.935000
242,10255.946000
243,10288.466000
244,10273.095000
245,10148.397000
246,10078.382000
247,10003.342000
248,10360.097000
249,10404.866000
250,10583.465000
251,10621.860000
252,10642.605000
253,10286.427000
254,10605.475000
255,10329.034000
256,10475.701000
257,10455.552000
258,10429.683000
259,10405.810000
260,10454.121000
261,10442.512000
262,10194.644000
263,10249.692000
264,10241.942000
265,10134.757000
266,10044.160000
267,10216.377000
268,10246.890000
269,10333.905000
270,10171.197000
271,10127.217000
272,10308.470000
273,10324.936000
274,10141.136000
275,10176.509000
276,10357.865000
277,10489.325000
278,10612.823000
279,10675.216000
280,10746.935000
281,10508.754000
282,10615.320000
283,10660.670000
284,10457.664000
285,10589.429000
286,10603.538000
287,10726.724000
288,10779.090000
289,10849.007000
290,10957.137000
291,11084.475000
292,11186.152000
293,10960.357000
294,10864.269000
295,10907.014000
296,10984.949000
297,11420.587000
298,11328.770000
299,11229.177000
300,11532.873000
