vertex,dist
0,0.000000
1,4409.778000
2,6701.803000
3,4374.671000
4,12815.237000
5,4436.630000
6,12061.120000
7,6740.628000
8,6559.935000
9,4537.350000
10,5592.753000
11,4683.720000
12,3602.427000
13,5406.811000
14,4577.610000
15,14319.461000
16,4816.146000
17,5500.344000
18,3718.131000
19,4883.982000
20,5018.536000
21,5555.478000
22,5540.606000
23,4104.864000
24,4143.642000
25,4767.183000
26,2045.382000
27,5227.423000
28,6066.712000
29,5968.189000
30,5598.993000
31,6301.936000
32,221.325000
33,4859.722000
34,489.861000
35,5973.680000
36,5784.914000
37,3738.478000
38,5691.515000
39,2223.515000
40,6298.546000
41,5873.813000
42,3255.518000
43,5988.586000
44,6129.118000
45,3398.067000
46,5069.476000
47,5761.116000
48,5787.016000
49,5917.249000
50,3056.331000
51,3534.940000
52,5879.616000
53,3671.518000
54,3635.335000
55,3455.545000
56,6762.135000
57,6830.945000
58,7199.213000
59,4755.560000
60,472.045000
61,4124.972000
62,542.461000
63,5225.030000
64,5356.130000
65,4632.707000
66,4763.712000
67,8271.355000
68,5617.884000
69,5723.508000
70,4983.623000
71,8309.775000
72,8486.115000
73,4611.555000
74,4090.640000
75,5005.031000
76,5848.597000
77,4302.466000
78,5994.687000
79,4918.965000
80,12822.652000
81,14442.608000
82,13159.205000
83,11845.742000
84,13770.667000
85,12689.583000
86,14456.288000
87,12122.096000
88,10763.194000
89,12742.456000
90,15008.742000
91,12535.080000
92,26879.362000
93,10690.761000
94,8872.456000
95,21287.067000
96,17024.103000
97,15509.649000
98,15653.568000
99,15510.259000
100,15695.255000
101,16232.222000
102,15632.244000
103,16690.344000
104,14797.625000
105,15803.151000
106,15941.727000
107,15232.724000
108,11765.960000
109,16267.052000
110,15438.532000
111,14113.234000
112,11705.061000
113,13929.120000
114,15572.734000
115,15664.454000
116,11902.337000
117,13057.175000
118,11775.496000
119,15654.534000
120,15782.512000
121,13724.515000
122,5236.009000
123,5908.221000
124,5960.594000
125,4144.707000
126,4321.600000
127,3888.759000
128,4194.043000
129,4668.677000
130,4472.970000
131,4347.120000
132,4399.420000
133,4617.034000
134,4572.222000
135,3803.124000
136,4790.512000
137,4514.445000
138,4266.204000
139,4554.322000
140,4540.620000
141,4846.185000
142,3023.959000
143,3248.770000
144,3649.363000
145,3139.995000
146,3176.069000
147,3870.347000
148,4209.408000
149,3790.981000
150,4318.918000
151,4218.659000
152,3788.784000
153,3569.324000
154,4471.676000
155,5605.251000
156,5916.870000
157,4800.357000
158,5399.534000
159,5117.661000
160,4849.786000
161,5327.675000
162,7322.800000
163,7054.869000
164,6598.153000
165,7031.377000
166,6791.035000
167,7857.847000
168,7725.575000
169,7713.743000
170,8244.211000
171,7577.778000
172,7534.594000
173,7497.241000
174,7510.026000
175,7426.413000
176,7402.704000
177,7302.052000
178,7005.122000
179,7131.100000
180,6870.557000
181,6955.137000
182,6851.988000
183,6938.766000
184,7026.766000
185,7002.003000
186,7282.332000
187,7205.322000
188,7199.815000
189,7110.120000
190,6901.758000
191,6755.357000
192,8296.717000
193,8113.976000
194,8089.138000
195,7903.141000
196,7877.808000
197,8034.815000
198,7931.735000
199,7882.421000
200,8100.393000
201,7991.000000
202,7789.217000
203,7847.994000
204,8012.436000
205,7669.485000
206,7620.051000
207,7602.662000
208,7675.685000
209,7647.181000
210,7616.240000
211,7618.782000
212,7672.119000
213,8313.179000
214,7707.511000
215,7500.315000
216,7574.506000
217,7500.564000
218,7360.831000
219,7580.831000
220,7629.549000
221,7456.791000
222,7285.448000
223,7335.368000
224,5560.137000
225,5673.858000
226,5508.396000
227,5344.251000
228,5244.257000
229,5135.115000
230,4864.010000
231,4858.204000
232,4734.643000
233,4935.074000
234,5112.560000
235,4975.206000
236,4861.587000
237,4726.180000
238,4717.311000
239,4763.163000
240,4932.673000
241,4861.947000
242,4844.774000
243,5032.411000
244,4856.513000
245,4889.397000
246,4588.768000
247,4527.719000
248,4681.852000
249,4670.939000
250,4757.782000
251,4893.705000
252,4178.512000
253,4796.649000
254,4615.983000
255,4354.892000
256,4454.085000
257,4439.187000
258,4052.660000
259,4742.603000
260,4031.478000
261,4905.949000
262,4860.027000
263,4158.897000
264,4421.392000
265,4054.432000
266,4052.107000
267,3982.661000
268,3967.827000
269,3686.537000
270,3939.258000
271,4143.448000
272,4423.579000
273,3863.764000
274,3578.853000
275,4324.610000
276,3389.444000
277,3259.086000
278,3974.513000
279,3256.132000
280,3492.689000
281,3301.796000
282,3344.273000
283,3546.172000
284,3441.184000
285,3234.845000
286,3334.629000
287,3993.929000
288,5167.042000
289,3774.214000
290,3218.991000
291,5068.095000
292,2875.023000
293,2937.118000
294,3473.156000
295,3024.336000
296,4885.858000
297,2882.070000
298,2777.339000
299,3535.232000
300,3330.871000
301,3621.002000
302,2778.391000
303,2706.997000
304,2885.618000
305,2664.681000
306,3488.793000
307,2639.297000
308,2832.557000
309,3219.925000
310,2606.755000
311,5381.621000
312,3151.132000
313,3366.117000
314,3280.376000
315,3564.480000
316,2693.160000
317,3031.892000
318,2501.208000
319,3311.431000
320,3394.653000
321,2812.071000
322,2912.138000
323,5334.645000
324,2866.226000
325,5355.095000
326,2749.490000
327,3264.128000
328,3045.251000
329,2767.196000
330,3363.957000
331,3305.934000
332,2358.012000
333,2735.181000
334,3388.282000
335,2493.534000
336,2809.007000
337,2762.860000
338,5169.351000
339,5266.094000
340,5077.700000
341,5489.568000
342,5124.392000
343,3141.535000
344,5320.338000
345,2597.402000
346,3060.897000
347,2963.840000
348,3035.915000
349,3054.664000
350,5200.137000
351,5395.114000
352,5396.802000
353,5312.110000
354,3322.448000
355,3344.167000
356,5366.437000
357,5289.004000
358,5214.646000
359,5099.671000
360,5142.084000
361,5368.029000
362,5259.053000
363,5287.718000
364,5464.731000
365,5307.196000
366,5346.015000
367,5510.453000
368,5285.587000
369,5555.379000
370,5582.649000
371,5560.221000
372,5563.938000
373,5598.250000
374,5628.948000
375,5400.682000
376,5659.996000
377,5663.617000
378,5704.514000
379,5615.912000
380,5649.525000
381,5852.212000
382,5679.229000
383,5771.567000
384,5770.551000
385,5787.673000
386,5806.969000
387,5901.848000
388,6105.217000
389,5947.804000
390,6001.814000
391,6116.947000
392,6168.630000
393,6101.736000
394,6591.494000
395,5868.166000
396,6784.790000
397,6764.459000
398,6716.606000
399,6181.636000
400,6357.559000
401,6474.841000
402,6397.411000
403,6159.652000
404,6530.258000
405,6060.079000
406,6421.620000
407,6286.551000
408,6308.843000
409,6717.247000
410,6700.095000
411,6651.620000
412,6590.374000
413,6458.687000
414,6610.279000
415,6150.948000
416,6441.372000
417,6271.817000
418,6603.680000
419,6066.631000
420,6246.562000
421,6311.400000
422,6158.085000
423,6672.897000
424,6704.409000
425,6252.963000
426,6515.973000
427,6346.026000
428,6647.610000
429,6440.332000
430,6700.161000
431,6561.807000
432,6745.883000
433,6439.852000
434,6612.589000
435,6533.684000
436,6511.475000
437,6578.691000
438,6669.794000
439,6532.448000
440,6893.194000
441,6625.633000
442,6521.572000
443,6671.507000
444,6723.898000
445,6777.633000
446,6874.180000
447,6864.932000
448,7038.222000
449,5664.843000
450,5145.296000
451,4989.989000
452,4911.940000
453,4884.793000
454,4856.453000
455,4793.968000
456,4978.616000
457,4807.504000
458,4895.730000
459,4836.670000
460,4866.299000
461,4368.619000
462,4889.024000
463,4266.323000
464,4240.181000
465,5015.763000
466,5072.896000
467,4523.495000
468,4050.234000
469,4012.996000
470,4033.968000
471,4016.673000
472,4413.773000
473,3902.539000
474,3926.892000
475,4075.209000
476,5514.982000
477,3823.183000
478,3851.254000
479,3844.129000
480,4153.534000
481,3774.560000
482,3741.238000
483,6284.504000
484,3769.719000
485,5804.895000
486,3706.097000
487,6234.392000
488,6375.788000
489,6196.811000
490,6167.334000
491,6055.857000
492,3564.358000
493,3895.534000
494,3513.806000
495,3502.522000
496,5866.247000
497,3783.008000
498,5831.433000
499,5859.897000
500,3938.901000
501,5696.505000
502,5678.697000
503,5710.533000
504,6685.499000
505,5983.295000
506,6599.222000
507,7061.984000
508,6588.060000
509,6839.197000
510,6857.946000
511,6761.091000
512,6830.988000
513,6562.351000
514,6462.898000
515,6163.833000
516,5981.114000
517,5968.747000
518,6220.980000
519,5807.716000
520,5768.536000
521,5633.354000
522,5810.208000
523,5732.936000
524,5954.295000
525,5708.478000
526,5996.267000
527,5443.513000
528,5370.321000
529,5178.659000
530,4886.678000
531,5036.318000
532,4493.721000
533,4453.954000
534,4082.377000
535,4105.005000
536,4428.654000
537,4383.670000
538,4327.444000
539,5854.649000
540,5656.774000
541,6096.640000
542,5416.145000
543,5469.765000
544,5351.750000
545,5250.582000
546,4980.614000
547,5009.214000
548,5014.709000
549,5159.114000
550,5166.065000
551,5131.778000
552,7087.624000
553,7798.423000
554,7398.838000
555,7809.037000
556,7678.074000
557,7734.120000
558,7529.913000
559,7444.685000
560,7459.496000
561,7462.540000
562,7582.127000
563,7823.557000
564,7545.812000
565,7561.712000
566,7619.029000
567,7702.835000
568,7711.201000
569,7883.544000
570,7950.533000
571,7989.399000
572,7898.965000
573,8009.064000
574,8175.134000
575,8757.097000
576,8745.742000
577,8716.620000
578,8482.584000
579,8502.945000
580,8756.911000
581,8679.441000
582,8606.958000
583,8644.650000
584,8798.683000
585,9057.992000
586,9109.441000
587,9200.672000
588,9077.604000
589,9176.990000
590,9190.378000
591,9275.869000
592,9337.852000
593,9477.703000
594,9493.845000
595,9349.254000
596,9720.826000
597,9486.488000
598,9622.247000
599,9754.151000
600,9666.576000
601,10009.359000
602,10564.060000
603,7295.504000
604,7134.430000
605,7426.854000
606,7657.834000
607,8583.008000
608,7373.810000
609,7517.771000
610,7727.412000
611,7962.702000
612,7553.416000
613,7908.973000
614,7795.834000
615,7219.120000
616,7488.334000
