vertex,dist
0,0.000000
1,215.521000
2,432.628000
3,651.191000
4,58.357000
5,277.096000
6,494.226000
7,767.887000
8,117.064000
9,454.607000
10,984.317000
11,176.033000
12,394.634000
13,906.560000
14,886.823000
15,511.733000
16,717.487000
17,545.546000
18,313.174000
19,788.127000
20,1005.690000
21,1344.578000
22,1999.959000
23,474.887000
24,951.775000
25,1168.850000
26,1128.999000
27,600.325000
28,825.331000
29,1040.621000
30,1252.882000
31,2315.582000
32,838.870000
33,889.456000
34,610.685000
35,829.098000
36,768.696000
37,551.091000
38,332.625000
39,829.086000
40,726.018000
41,392.860000
42,886.482000
43,667.127000
44,450.857000
45,1006.098000
46,1028.575000
47,570.552000
48,1125.394000
49,907.819000
50,691.111000
51,1251.361000
52,1034.974000
53,816.982000
54,969.109000
55,1389.350000
56,957.578000
57,1019.003000
58,806.501000
59,874.146000
60,680.532000
61,906.931000
62,1418.760000
63,1201.638000
64,1330.570000
65,1264.579000
66,1415.012000
67,2018.239000
68,2228.572000
69,1268.510000
70,1570.121000
71,1715.445000
72,1920.618000
73,2157.716000
74,2299.061000
75,2372.814000
76,1557.258000
77,2349.354000
78,2243.237000
79,1811.571000
80,1823.887000
81,2095.538000
82,1933.513000
83,2036.672000
84,2414.923000
85,47.768000
86,1250.152000
87,1013.001000
88,2080.042000
89,615.713000
90,234.939000
91,689.969000
92,354.278000
93,571.211000
94,1222.436000
95,1402.142000
96,1495.103000
97,1679.562000
98,1553.864000
99,2205.694000
100,2166.836000
101,980.947000
102,1784.238000
103,1902.091000
104,2163.205000
105,764.276000
106,998.850000
107,972.544000
108,1261.530000
109,1723.369000
110,1287.679000
111,2460.112000
112,912.775000
113,621.315000
114,513.670000
115,671.756000
116,741.944000
117,686.726000
118,1130.998000
119,459.679000
120,940.207000
121,2068.342000
122,1459.134000
123,1888.269000
124,1087.614000
125,899.885000
126,1279.140000
127,2236.390000
128,831.392000
129,1012.314000
130,951.855000
131,973.462000
132,956.287000
133,971.197000
134,948.108000
135,933.268000
136,2464.984000
137,2480.150000
138,2466.861000
139,2451.740000
140,2082.962000
141,2071.750000
142,2114.275000
143,2102.608000
144,1219.809000
145,1241.117000
146,1340.091000
147,1348.847000
148,1365.355000
149,1356.594000
150,1333.435000
151,1320.718000
152,1300.960000
153,1290.326000
154,1243.944000
155,1251.261000
156,1239.167000
157,1231.567000
158,1233.394000
159,1219.685000
160,1224.150000
161,1210.876000
162,2105.874000
163,249.228000
164,260.330000
165,137.787000
166,129.523000
167,619.127000
168,593.732000
169,608.152000
170,581.593000
171,1103.291000
172,1019.983000
173,1004.891000
174,1012.530000
175,997.478000
176,1310.050000
177,1290.555000
178,1119.612000
179,1139.549000
180,1097.618000
181,1078.096000
182,899.333000
183,914.656000
184,947.806000
185,933.650000
186,758.752000
187,745.827000
188,1003.043000
189,983.557000
