arquivo,n_vertices,n_arestas,tempo_segundos
chain_n10.csv,10,9,0.000013
chain_n100.csv,100,99,0.000028
chain_n50.csv,50,49,0.000021
dense_n20_m200.csv,20,200,0.000058
dense_n40_m600.csv,40,600,0.000301
dense_n60_m1200.csv,60,1200,0.000379
grid_10x10.csv,100,360,0.000121
grid_400x400.csv,160000,319200,0.081683
grid_5x5.csv,25,80,0.003957
grid_8x8.csv,64,224,0.000080
medium_n100_m400.csv,100,400,0.000179
medium_n30_m120.csv,30,120,0.000052
medium_n60_m240.csv,60,240,0.000091
sparse_n30_m60.csv,30,60,0.000027
sparse_n50_m100.csv,50,100,0.000051
sparse_n80_m160.csv,80,160,0.000107
