vertex,dist
0,0.000000
1,5.000000
2,4.000000
3,4.000000
4,4.000000
5,4.000000
6,4.000000
7,1.000000
8,5.000000
9,5.000000
10,3.000000
11,1.000000
12,3.000000
13,5.000000
14,4.000000
15,5.000000
16,5.000000
17,4.000000
18,5.000000
19,2.000000
20,2.000000
21,2.000000
22,3.000000
23,4.000000
24,3.000000
25,4.000000
26,2.000000
27,6.000000
28,3.000000
29,3.000000
30,3.000000
31,3.000000
32,4.000000
33,3.000000
34,4.000000
35,3.000000
36,4.000000
37,3.000000
38,6.000000
39,6.000000
40,4.000000
41,3.000000
42,3.000000
43,4.000000
44,4.000000
45,4.000000
46,2.000000
47,2.000000
48,5.000000
49,2.000000
50,4.000000
51,3.000000
52,4.000000
53,4.000000
54,4.000000
55,4.000000
56,2.000000
57,4.000000
58,6.000000
59,3.000000
