vertex,dist
0,0.000000
1,21.000000
2,26.000000
3,19.000000
4,INF
5,14.000000
6,15.000000
7,2.000000
8,22.000000
9,25.000000
10,32.000000
11,34.000000
12,INF
13,30.000000
14,INF
15,34.000000
16,24.000000
17,30.000000
18,34.000000
19,30.000000
20,12.000000
21,19.000000
22,INF
23,36.000000
24,INF
25,17.000000
26,20.000000
27,26.000000
28,21.000000
29,10.000000
30,21.000000
31,31.000000
32,26.000000
33,9.000000
34,INF
35,18.000000
36,33.000000
37,36.000000
38,24.000000
39,28.000000
40,INF
41,26.000000
42,9.000000
43,26.000000
44,43.000000
45,INF
46,30.000000
47,13.000000
48,INF
49,22.000000
